,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,Kurtosis_A_F,Skewness_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,STD_A_V,Kurtosis_A_V,Skewness_A_V,RangeA_V,Minimum_A_L,Maximum_A_L,RMS_A_L,Variance_A_L,STD_A_L,Kurtosis_A_L,RangeA_L,P_A_F,P_A_V,P_A_L,EN_A_F,EN_A_V,EN_A_L,ENt_A_F,ENt_A_V,ENt_A_L
2532,0,-636,-606,620.5763954,56.03027344,7.485337229,-0.3517929,0.06335916400000001,30,686,725,706.961279,77.80371094,8.820641186,0.11494980199999999,-0.137915025,39,435,485,450.57602019999996,96.65527344,9.831341385,0.867485947,50,1611768.102,2079525.405,838718.2409999999,24647364,31986832,12993200,3.031466666,3.184842337,3.083103509
3751,0,-141,-70,112.05146699999999,234.53125,15.31441315,-0.039124972,0.347414751,71,980,1019,997.5411176000001,82.03125,9.057110466000001,0.19986068,0.04321782,39,257,326,289.85769680000004,198.18725590000003,14.07789955,0.08037306799999999,69,31474.3053,4137754.586,336423.3801,803554,63685650,5377119,2.366866312,3.0293313889999998,2.931512254
883,0,-4949,1818,992.5323986999999,801588.6475,895.3148315,8.893675417,-2.055403355,6767,-372,2764,1112.7693279999999,334656.8064,578.4952951,1.566890121,0.48591197799999997,3136,-960,1742,499.5406015,140289.9053,374.5529405,4.7902456980000006,2702,18596936.64,18657446.73,3711358.7610000004,63047716,79248357,15970612,2.98493371,2.749690007,2.8217471119999997
8497,0,-727,1666,444.22420089999997,174444.3962,417.6654118,2.663052409,1.015369961,2393,235,2078,1206.596595,169281.3896,411.4381966,0.18681175600000002,0.374865711,1843,-1207,425,247.56605809999996,38999.396239999995,197.48264790000002,32.08424422,1632,3678413.443,9393230.874,401290.7922,12629449,93176022,3922493,2.444073632,1.982424826,3.2714703330000003
4357,0,-2040,1818,637.3968667,386670.3904,621.8282644,2.21079643,-0.629261681,3858,274,2323,1251.555276,226258.7927,475.6666824,0.095776671,0.391744625,2049,-1217,1207,406.31397569999996,92839.28687000001,304.69540010000003,9.438717806,2424,12212725.64,19145515.35,2333898.5209999997,26001585,100248999,10565827,2.758483347,1.6611711669999998,3.1581346110000004
9268,0,101,222,157.1827161,506.7148438,22.51032749,0.572516736,0.223192395,121,911,1049,994.4296497000001,574.7458496,23.97385763,1.5403107980000001,-0.452403715,138,247,326,279.2242882,221.07983399999998,14.86875361,0.5595176789999999,79,124118.2814,4151628.0160000003,324920.8218,1581210,63288981,4989837,2.307426065,2.383178857,2.6524935590000003
1975,0,-2858,1868,817.6729557,538471.0459,733.8058639,3.1358731260000003,-0.45501245,4726,-372,2460,1230.208786,291490.6787,539.8987671,0.58084203,0.290592313,2832,-980,1227,430.2679035,161816.9961,402.2648333,1.024828232,2207,12564895.41,13059102.04,3683002.9489999996,42789700,96858474,11848350,2.9346358130000003,1.9146138819999998,2.4632575230000002
9610,0,40,80,65.0,80.859375,8.992184106,0.775047259,-0.5862579179999999,40,1000,1049,1024.223357,105.454834,10.26912041,-0.531617725,0.06594771099999999,49,158,207,180.9933959,138.8630371,11.78401617,-0.243853005,49,18014.78039,4353019.52,153456.7897,270400,67138143,2096551,3.103518839,3.096578607,2.8642921919999997
9894,0,292,343,317.8253992,97.56420898,9.877459642,-0.167838231,-0.085968596,51,960,1009,983.6259531,94.08764648,9.699878684,-0.277419608,0.01402021,49,118,168,139.0512495,118.359375,10.87930949,-0.437146685,50,419298.9565,4019681.65,82888.92254,6464831,61921281,1237456,3.1898573160000003,3.097745606,3.062230504
9760,0,292,323,313.04217969999996,85.08496094,9.22415096,0.08819172300000001,-0.836846605,31,960,1009,985.0234927000001,107.84277340000001,10.38473752,0.318470073,-0.250505604,49,99,158,132.03296229999998,152.77905269999997,12.36038239,0.089540944,59,409938.1079,4027837.42,74399.26073,6271706,62097362,1115693,2.9485877360000003,2.937742243,2.9265388089999997
3220,0,-60,-30,38.75,59.93652344,7.741868214,0.953044993,-0.9735430190000001,30,921,960,936.7331780999999,56.30249023,7.503498532999999,0.44794002200000005,0.15910748,39,425,495,462.99973,173.3398438,13.16585902,0.255561357,70,6258.967224,3706453.083,886710.6767,96100,56158019,13719600,3.0487965569999997,2.945299112,3.063951621
2382,0,-1818,2505,682.2272462999999,409213.1599,639.6977098,4.987786955,0.293267336,4323,49,2274,1211.427831,250017.5564,500.0175561000001,0.004544652,0.374875901,2225,-801,792,369.1250212,67445.43359,259.7025868,3.285942805,1593,11754882.8,20160484.01,3381069.115,29787777,93923673,8720210,3.1207685730000003,1.683816815,2.537377004
4143,0,-818,3797,610.4137941,322232.8086,567.6555369,22.01190089,3.869638693,4615,-617,1617,1020.479376,323333.7656,568.6244504,-0.20970209,-0.744244809,2234,-287,3049,696.8651120000001,179241.4373,423.3691501,17.75132086,3336,5559087.572000001,17833226.63,3677921.953,23846720,66648202,31079743,3.1715225310000004,1.840284854,3.2317805930000003
1838,0,-1828,2545,764.2765982999999,509470.2334,713.7718357000001,3.678597543,0.54164219,4373,-137,2294,1276.906938,283984.9255,532.9023602,-0.10945709,0.013276362,2431,-990,2346,659.1208871,262889.0586,512.72708,4.837950043,3336,13998136.86,17133994.32,13210803.67,37383598,104351445,27804182,2.911739766,1.6024319390000001,2.411055966
9868,0,292,343,318.90317400000004,87.71069336,9.365398728999999,0.191868946,-0.030875347999999997,51,970,1000,980.5013067,63.84277344,7.990167297,-0.178456544,0.467038539,30,118,168,137.55203559999998,91.57714844,9.569594999,0.485769546,50,415924.8589,4028097.667,80197.99097,6508751,61528500,1210916,3.0244112039999997,3.1755761789999997,3.034325711
650,0,-171,-60,121.44494640000002,802.7412109,28.33268803,-0.932667273,-0.12316851,111,931,1000,958.6475418,192.99780269999997,13.89236491,0.090716401,0.600069002,69,356,445,399.4488586,420.7282715,20.51166184,-0.714240503,89,103930.6138,3856845.848,648317.3257,943928,58816327,10211801,2.8984332569999998,3.061294575,2.857149067
9364,0,-474,1292,386.8029416,88985.14818999999,298.3037851,2.637552764,1.3520812130000002,1766,617,1343,997.5431225,14930.40527,122.1900375,1.067206369,0.060408175999999994,726,-316,524,342.7145086,12284.77124,110.8366872,15.09098514,840,755716.5757,4116272.9560000002,773412.3299,9575457,63685906,7517007,2.471342768,2.597462255,3.089547889
5260,0,-151,-111,135.5926805,58.984375,7.68012858,0.5877812379999999,0.30719167,40,911,950,931.6239266000001,85.33764648,9.23783776,-0.42404652299999995,-0.17655568100000002,39,435,475,453.83780139999993,79.6875,8.926785536,0.366782007,40,78702.78614,3632517.7169999997,863425.7823,1176664,55547081,13182000,3.0052036139999996,3.033665323,3.065489768
2108,0,-1767,1464,485.33158770000006,209008.3037,457.1742597,3.944294775,0.183797002,3231,539,2254,1124.496054,84891.74121000001,291.3618733,3.029892751,1.37268664,1715,-2049,1524,656.5006783,346575.6541,588.7067641,5.100496845,3573,6816035.124,6187737.531,14926833.21,15074992,80927448,27583561,2.864596345,2.352116184,2.797486544
2386,0,-2010,1555,639.8259772999999,379943.5898,616.3956439,2.307809433,-0.926791923,3565,19,2147,1196.003821,287764.3572,536.4367223999999,-0.599859853,0.152938485,2128,-772,722,348.3632488,61889.55835,248.77612090000002,5.3510142069999995,1494,13189795.51,18263055.02,1798811.469,26200146,91547209,7766845,2.722897183,2.053505308,2.98591513
7269,0,-505,-505,505.0,0.0,0.0,-3.0,0.0,0,843,843,843.0,0.0,0.0,-3.0,0.0,0,386,386,386.0,0.0,0.0,-3.0,0,1066674.563,2972380.25,623194.8434,16321600,45481536,9535744,0.0,0.0,0.0
10134,0,-1252,1979,642.9763433999999,359587.3279,599.656008,2.0296926330000002,1.023502098,3231,117,1931,1245.793309,201684.3428,449.09279969999994,-0.436648754,-0.27262973,1814,-1712,861,469.5350426,189332.9648,435.12407980000006,9.705012434,2573,4107477.105,14057063.04,1094230.5559999999,26458789,99328062,14109642,2.411653706,1.3875875640000002,2.577410769
7289,0,-505,-505,505.0,0.0,0.0,-3.0,0.0,0,843,843,843.0,0.0,0.0,-3.0,0.0,0,386,386,386.0,0.0,0.0,-3.0,0,1066674.563,2972380.25,623194.8434,16321600,45481536,9535744,0.0,0.0,0.0
3626,0,-151,-111,125.8411697,77.90527344,8.826396402,1.317503072,-0.892296642,40,882,941,915.6279437000001,119.83984380000001,10.94713861,0.23618866600000002,-0.43241196200000004,59,475,514,493.1023918000001,100.96875,10.04832076,-0.662946611,39,65519.87247,3465834.6980000003,1020211.797,1013504,53655970,15561598,3.007778235,2.919484337,2.988821132
4153,0,50,161,121.3910906,741.6462402000001,27.2331827,-0.521674492,-0.387979099,111,823,990,916.6020384,1246.4157710000002,35.30461403,-0.259449175,-0.288653633,167,455,564,493.4343136,382.20092769999997,19.54995979,1.359330164,109,91052.0812,3627869.855,1001017.401,943091,53770195,15582555,2.5579914230000003,2.189434038,2.816884848
2940,0,-262,-232,247.13280840000002,65.625,8.100925873,-0.496598639,-0.088173343,30,843,882,859.3067791000001,70.72631836,8.409894075,0.417390055,0.213957074,39,514,564,543.2972828,85.32714844,9.237269534,0.604220622,50,255475.3807,3092695.329,1234272.996,3908776,47258121,18891004,3.086981602,3.109307435,2.968486304
5354,0,-60,-20,44.93050189,77.24609375,8.788975694,-0.193283798,0.19661382600000002,40,862,892,878.5949009999999,56.93359375,7.5454352920000005,-0.78191998,0.442857461,30,544,594,567.9877309,92.55371094,9.620483924,0.019019209,50,8180.103334,3223392.662,1335119.456,129200,49403456,20647044,2.993064535,3.043633802,3.0528511139999996
8909,0,-181,1050,327.1686778,51062.74121,225.9706645,3.0500101589999997,1.441628221,1231,666,1274,999.6099317,12705.49194,112.7186406,1.668517877,-0.09217736300000001,608,-79,435,316.9749349,7514.816162,86.68803933,5.673495185,514,2007725.999,5168912.126,744918.4778,6850518,63950081,6430279,2.358277964,2.1980180590000002,2.641863279
127,0,-5000,2353,895.9645640000001,681865.9023,825.7517196,15.41614808,-2.551006927,7353,-852,4764,1099.952123,359320.7888,599.4337235,24.83648521,3.534804254,5616,-2930,861,544.1802464,196345.2537,443.10862510000004,42.10140196,3791,16228092.65,5876288.416,3182984.2010000004,51376160,77433259,18952457,3.222006864,3.3061849789999997,3.319411296
8614,0,-767,333,166.4636315,24721.12671,157.2295351,12.39189988,-3.024219918,1100,823,1676,1030.893484,10962.93359,104.7040285,21.10221675,3.6051707580000003,853,-1435,623,296.3676454,68729.3584,262.16284709999996,18.48245449,2058,856224.8201,4058475.772,579496.5043,1773449,68015448,5621362,2.9755122239999996,3.099644664,3.0761237230000003
7534,0,-636,1101,375.3527716,110836.2302,332.92075669999997,0.539284408,0.535948355,1737,421,1509,1062.026152,52692.57202,229.5486267,0.530331161,-0.273364105,1088,-623,574,288.59698330000003,35450.32715,188.2825726,6.669790375,1197,4716861.348999999,4934138.781,1902315.283,9016941,72185571,5330446,2.294328715,1.9008641169999998,2.559209343
1689,0,-5000,2777,1155.005269,1200983.211,1095.893795,6.419441125,-1.71855983,7777,-1049,4382,1249.282275,427046.9138,653.4882660000001,9.704147568,1.493366586,5431,-4811,1495,720.1149972999999,486574.9333,697.5492336,38.25808663,6306,32455100.04,4653689.711,3517872.666,85378379,99885197,33188199,3.026189276,2.959236536,3.332147995
940,0,-50,0,26.45751311,90.52734375,9.514585842,-0.022796857,0.07376683099999999,50,990,1029,1007.24205,78.41186523,8.855047444,-0.486953764,0.012340862,39,237,297,264.42673840000003,126.46484380000001,11.24565888,0.161615957,60,2127.056052,4228625.632,280934.9933,44800,64930339,4474976,2.9663300219999997,2.908626154,3.023401694
3581,0,-181,-141,163.89707140000002,78.88183594,8.881544682000001,-0.485363616,0.143387533,40,872,921,902.8197408,97.71069336,9.884871945,0.61750475,-0.43683963299999995,49,475,524,502.4146538,86.93920898,9.324119742999999,0.378670681,49,114465.2102,3393658.965,1072478.377,1719184,52165343,16154911,2.9579113830000003,3.2108017139999996,3.027539056
2304,0,-1080,464,333.2809204,78883.96265,280.8628894,1.284276499,-0.503736697,1544,725,1784,1045.902339,29822.7478,172.6926397,4.849647547,1.7105149290000001,1059,-1405,1237,474.4520524,190578.4648,436.5529348,2.761069586,2642,2640283.091,5920537.467999999,4072937.08,7108875,70010349,14406704,2.605552663,2.566519687,2.678574151
5978,0,-1686,1747,606.8279462,298676.0938,546.5126657000001,2.156264229,0.015905039,3433,245,1970,1126.497538,133273.5525,365.0665042,0.164867879,0.057163320999999996,1725,-861,990,427.068642,69260.50684,263.1739099,5.332350394,1851,7234233.038,13110714.95,2291889.367,23567370,81215789,11672808,2.833437354,1.813992401,2.70631982
6351,0,131,171,149.06919530000002,76.46484375,8.744417862,0.093001179,0.158557639,40,960,1009,979.7271701999999,108.345459,10.40891248,0.029114216000000002,0.030716697999999997,49,297,336,320.09952069999997,113.6970215,10.66288054,-1.027609129,39,98712.23657000001,3995699.0310000004,439428.7505,1422184,61431381,6557677,3.05681438,3.0045904589999997,3.1674910069999997
3372,0,-80,-30,54.45755228,76.5625,8.75,0.6289046229999999,-0.174927114,50,921,970,938.7103437000001,72.22045898,8.498262116,1.9376880669999998,0.647688814,49,435,485,458.89132699999993,129.6875,11.38804197,-0.17738423600000003,50,11414.99344,3670181.1980000003,880928.2616,189800,56395335,13477200,3.00644027,3.0831937010000003,3.09040308
4542,0,454,494,477.8726295,117.1875,10.82531755,-0.6325333329999999,-0.267890525,40,892,941,914.8614392999999,118.1306152,10.86879088,-0.395665545,0.046276492999999995,49,79,128,101.8973135,93.49609375,9.669337813,-0.10487352800000001,49,946699.0952,3506353.5939999996,40937.44784,14615184,53566173,664516,3.004509058,3.099064817,3.025077252
3428,0,-2171,2959,608.8101227999999,343357.6931,585.967314,12.54334148,1.536600912,5130,-382,1686,1024.214653,116885.74900000001,341.8855788,4.942828317,-1.59628955,2068,-425,584,271.83867569999995,17438.05054,132.053211,9.024140281000001,1009,5619227.897000001,5932090.932999999,365252.1891,23721585,67137002,4729361,3.31079084,2.8535216460000004,2.9217008780000002
