,0,RMS_A_F,Variance_A_F,RangeA_F,Minimum_A_F,STD_A_F,RMS_A_V,Variance_A_V,RangeA_V,EN_A_F,EN_A_V,EN_A_L
853,0,822.7779356000001,498483.6865,4221,-3171,706.0337715,993.4589747000001,116325.94699999999,1353,43325666,63165487,22036119
7927,0,195.25604180000002,23305.663819999998,968,-282,152.6619266,1069.1234220000001,49660.57397,1010,2439995,73153593,2214845
9950,0,314.6586941,80.18652344,41,292,8.954692816,981.9192065,117.4958496,49,6336646,61706581,1335496
4017,0,20.65338955,57.20214844,40,0,7.563210194,887.2065184,89.19433594,39,27300,50376666,19763824
4762,0,81.125,78.35522461,41,-101,8.851848655,864.5862992000001,95.18652344,49,421201,47840606,21715163
6543,0,511.87489320000003,235862.9521,2373,-818,485.65723729999996,1165.8522369999998,172609.7148,1785,16769018,86989532,11694548
3438,0,170.3897646,13427.19702,706,-141,115.8757827,1008.0033869999999,6454.068115,481,1858091,65028533,4498033
6750,0,151.3947654,260.7177734,70,121,16.14675737,1009.619877,84.30639648,49,1466904,65237267,2728436
75,0,513.1603825,206994.1052,3403,-1979,454.96604840000003,1047.963531,184650.0273,1677,16853349,70286564,10004976
10786,0,192.7947014,83.46264648,41,171,9.135789319,1013.725293,76.62109375,29,2378867,65768894,1767696
10759,0,543.3396296,257563.7634,3292,-1444,507.5074023,1126.6330990000001,154133.1404,1971,18893949,81235337,18162508
1598,0,668.1345533,326990.3398,2959,-2404,571.8306916,1062.397804,149888.0381,1892,28569842,72236102,15993442
4444,0,654.4690835,424688.4131,3807,-1949,651.6812204,1303.226843,281816.7244,2294,27413106,108697613,9586277
9781,0,311.9777135,64.078125,41,292,8.004881323,983.8016187000001,101.5625,40,6229126,61943400,1211716
7484,0,52.20796754,2679.048584,211,-121,51.7595265,1038.216417,92.48608398,49,174443,68985173,297419
4180,0,321.2411477,74.609375,40,-343,8.637671851,912.2926562000001,163.34936519999997,59,6604536,53265785,9943031
3539,0,168.76870269999998,90.625,40,-191,9.519716382,907.1010228,98.23217773,49,1822904,52661265,15364441
3219,0,41.23105626,74.90234375,40,-60,8.654614015,938.3138884,90.57006836,39,108800,56347709,13614791
7925,0,118.5115369,425.36499019999997,101,90,20.62437854,1027.017709,100.5615234,40,898879,67504984,1335907
8600,0,459.79349979999995,170327.8398,2332,-1171,412.70793530000003,1100.248218,78749.37085,1461,13530244,77474953,4485307
475,0,312.14732599999996,82.20288086,41,-333,9.066580438999999,833.1654716,93.47241211,39,6235901,44426541,19594724
18,0,77.8149849,404.361084,101,-131,20.10873154,985.3307186000001,159.0625,59,387531,62136104,7081084
466,0,309.3000162,69.58984375,41,-323,8.34205273,837.4798132,123.20996090000001,49,6122656,44887836,18877844
8124,0,453.1957186000001,156206.3669,2463,-898,395.2295117,1151.9169960000002,27989.55249,648,13144727,84922417,5526525
1940,0,950.2129037999998,772786.5459,5999,-2777,879.0827867,1314.1612519999999,284506.2009,2539,57785892,110529267,10332534
1260,0,399.7703833,81617.48022,1636,-1101,285.687732,968.9070921,93271.96851,1510,10228247,60081981,11142165
1020,0,744.2708155,408527.908,3978,-2898,639.1618793,1042.60291,199921.7458,2991,35452099,69569333,17782868
6818,0,536.8790307999999,238677.2031,2605,-484,488.5460092,1007.7722570000001,122255.0486,1540,18447302,64998715,8840839
3309,0,55.48085255,87.40234375,50,-80,9.348922064,939.2501081,88.25561523,39,197000,56460209,13330200
8543,0,495.62244639999994,200066.03100000002,2837,-1676,447.2874143,1128.4776869999998,44447.14429,1118,15721063,81501561,3792752
7525,0,249.4201087,23259.667719999998,1029,-40,152.51120519999998,1017.561569,10180.3728,539,3981465,66267619,480704
3458,0,54.37140793,167.0898438,50,30,12.92632367,1004.388752,121.782959,49,189200,64562993,4958277
2802,0,1278.700885,1429030.885,7616,-4313,1195.420798,1163.365115,207949.8826,3068,104644861,86618777,24059227
1157,0,408.36908860000005,16415.25,828,-727,128.1220122,891.7618357999999,10935.20679,882,10672980,50895307,10284319
1303,0,225.94043050000002,402.98217769999997,101,-272,20.074416,863.6395822999999,214.0935059,68,3267141,47735893,19234201
4080,0,199.2695646,138.4470215,61,-222,11.76635124,981.9048849999999,89.37084961,49,2541335,61704781,5655537
5730,0,142.8922234,1348.303711,152,-232,36.71925532,1018.2304730000001,246.59741209999999,69,1306764,66354771,2184426
10698,0,171.4983145,111.861084,51,151,10.57644004,1016.9235160000001,98.671875,59,1882347,66184540,1199153
9437,0,380.4834302,142797.113,2948,-1292,377.88505269999996,1162.352692,181421.5313,2234,9265129,86468082,6242612
6600,0,605.8857411,305856.749,3160,-1575,553.043171,1189.377733,167244.5271,1745,23494242,90535641,15443446
8285,0,389.1240564,124644.3906,2737,-616,353.0501248,1032.821658,33988.27319,873,9690722,68270117,8319985
5624,0,231.37182599999997,41980.03101,1413,-898,204.89029019999998,1048.155217,108200.0994,1667,3426107,70312279,5329087
3817,0,111.89154909999999,66.55371094,41,-131,8.158045779,970.0747474,114.70288090000001,49,801262,60226881,8880584
1612,0,572.1922208,221270.5146,2939,-2606,470.3939994,1041.351016,73318.84277,1323,20953852,69402364,5761045
9677,0,70.86596062,408.6032715,81,-101,20.21393756,1022.5447800000001,123.53100590000001,39,321407,66918261,2335521
3051,0,576.9748423999999,323791.6523,4787,-2373,569.0269346,1177.023232,230027.4219,2147,21305598,88664556,10868034
9945,0,317.45806810000005,52.734375,30,303,7.261843774,979.1322689,136.6210938,50,6449896,61356800,1291596
222,0,415.5979314,63666.89819,1828,-1616,252.32300370000002,937.3795506000001,15552.32593,666,11054185,56235547,13738466
2314,0,780.6206865,520490.1406,3908,-2040,721.4500264,1149.7567,237478.5781,2166,38999594,84604190,8728742
4808,0,138.28096399999998,112.109375,50,-161,10.58817147,1013.1688449999999,120.5036621,59,1223784,65696711,2548856
10174,0,709.0392487,450381.4961,4110,-1848,671.1046834,1212.439605,195615.7537,2029,32175146,94080627,10998838
9528,0,455.5666972,199788.7634,3817,-767,446.97736339999994,1075.057775,116560.1162,1715,13282625,73967950,4340104
2218,0,1129.755097,1243726.832,7727,-3121,1115.225014,1415.038587,370288.031,2549,81686181,128149389,13452227
9203,0,326.3238662,57348.845460000004,1494,-222,239.47618980000001,996.0218136,8646.345459,510,6815185,63491805,8161199
10084,0,723.2161783,466434.82200000004,3473,-1292,682.9603371000001,1253.4191859999999,234868.1523,2530,33474665,100547818,7624167
8170,0,329.5081088,86272.03809,1979,-1131,293.7210208,1082.724883,51573.19897,1010,6948838,75026763,4230691
2905,0,664.6769422,378417.375,3534,-2767,615.1563826,1017.3402130000001,49769.77515,1431,28274908,66238791,8282891
4086,0,176.4931833,107.80859380000001,51,-202,10.38309172,978.5191377999998,190.3376465,59,1993590,61279981,6460715
1484,0,720.8297518999999,371995.4961,3504,-2414,609.9143349999999,1036.104136,150831.4648,2657,33254114,68704754,13303741
4652,0,276.25523189999996,76173.32788,2140,-787,275.9951592,1052.092402,16081.3689,932,4884285,70841499,4803909
6984,0,156.88291809999998,80.859375,30,141,8.992184106,1003.0648890000001,98.82788086,49,1575184,64392907,3874656
3002,0,9.842509843,77.734375,30,-20,8.816709987000001,992.1847893999999,56.63183594,29,6200,63003562,6917370
7343,0,341.43042389999994,100906.7361,2615,-858,317.6582064,1062.079064,22491.12109,1186,7460783,72192764,2287958
4776,0,82.04448108,71.20678711,41,-101,8.438411409,863.9424623,89.56616211,49,430803,47769381,22024188
588,0,125.36721059999999,2527.850586,242,-282,50.27773449,976.4574604000001,435.61694339999997,108,1005884,61022027,7888966
5845,0,104.49229940000001,79.87866211,31,90,8.937486342,1008.7888859999999,109.97631840000001,49,698793,65129921,3629856
8197,0,76.21208074,1365.225586,282,-60,36.9489592,1048.144246,4523.046631,441,371730,70310807,2145866
2208,0,1001.256749,919957.6267,5383,-3575,959.1442158,1275.302623,297131.9023,2774,64160965,104089394,13034310
2548,0,579.5695871,14128.34375,495,-646,118.86270970000001,748.8623977000001,5467.193115,265,21497658,35890873,13045391
4526,0,479.6864862,58.984375,30,464,7.68012858,914.6540243999999,81.67553711,39,14726344,53541887,502927
1912,0,664.0511911,365381.94700000004,3574,-1888,604.4683176,1190.104591,257227.5469,2234,28221695,90646332,12036467
9991,0,260.482605,104.85839840000001,50,232,10.24003899,995.9787115,82.08984375,39,4342476,63486310,1672356
812,0,131.2631541,366.55834960000004,81,-171,19.14571361,979.7395619999999,622.4001465,127,1102721,61432935,7398734
4242,0,353.6032381,95.09277344,50,-383,9.75155236,901.0171162,87.15527344,49,8002256,51957238,9821490
8444,0,532.2728242,247858.6462,2383,-818,497.8540411,1206.707057,137915.0271,1470,18132119,93193083,2624043
277,0,832.0748070000001,581906.5017,5120,-2727,762.8279633999999,1067.726791,216038.9375,2225,44310303,72962592,14639697
6724,0,107.11646699999999,111.70996090000001,41,90,10.5692933,1015.115264,107.12109380000001,49,734332,65949376,2779751
7405,0,391.3057668,114526.3728,1746,-383,338.4174535,1159.701221,108050.1521,1559,9799693,86074043,5470534
7878,0,229.10853050000003,33299.811519999996,1656,-626,182.4823595,1035.134774,6737.984375,607,3359406,68576256,2330256
3533,0,164.7585354,54.27246094,30,-181,7.366984521,909.2322998,81.46484375,49,1737304,52909016,15468185
4674,0,198.14081169999997,80.52734375,41,-222,8.973702901000001,1017.7605390000001,116.8649902,49,2512626,66293537,434247
5548,0,664.522667,113.18359380000001,50,636,10.63877783,594.4691172,74.74121094,29,28261784,22617186,18146393
10335,0,904.6359765000001,753564.1836,5756,-1171,868.0807472000001,1163.595693,314383.5225,3293,52375440,86653116,9276383
1271,0,1013.6624109999999,863499.1404,4818,-3818,929.2465445,962.4136162999998,163947.2725,2382,65760735,59279358,11453634
4359,0,665.2479566000001,417412.7773,2777,-2010,646.0749007000001,1247.5033,236386.6208,2049,28323510,99600927,8996390
6415,0,149.30170800000002,52.734375,40,131,7.261843774,978.3380358999999,111.10839840000001,50,1426624,61257300,6834744
1232,0,317.2096606,113.15527340000001,51,-343,10.63744675,887.3147166000001,114.84375,39,6439806,50388954,13317000
9098,0,130.0430818,4842.12085,262,10,69.58534939,963.3812524,1516.709961,206,1082317,59398620,9924109
4410,0,176.6249115,27462.003660000002,1171,-434,165.7166366,1027.354635,42383.84351,1058,1996567,67549283,5550524
8593,0,495.9203092,218943.49,3060,-1505,467.91397710000007,1179.8493349999999,64184.345460000004,1353,15739965,89090845,4906795
184,0,84.12769312,3295.21875,252,-212,57.40399594,977.3322506000001,618.7966309,147,452958,61131413,8404982
8407,0,165.6947495,105.859375,40,151,10.28879852,1003.728393,82.08984375,39,1757104,64478124,3177731
9244,0,445.17185939999996,117050.9236,1999,-303,342.1270577,978.7263008,8711.663818,549,12683391,61305931,7702089
10519,0,852.911008,646730.1719,5807,-1070,804.1953568,1177.377429,231969.5427,3176,46557260,88717927,10584663
4618,0,162.4189221,3190.327148,283,-303,56.48298105,1003.3116029999999,3913.573975,313,1688314,64424587,3683333
7793,0,149.73226110000002,88.18359375,40,-171,9.390612001000001,1023.883416,81.22558594,30,1434864,67093584,500316
10715,0,121.45260139999999,1101.923584,131,-191,33.19523436,1014.8847609999999,305.22631839999997,78,944047,65919429,3085613
9264,0,172.9408768,1236.532959,162,90,35.16437059,989.888709,2809.186523,187,1914147,62712298,5236369
3789,0,115.0423835,67.1875,30,-131,8.196798155,969.9176913999999,113.1208496,49,847024,60207381,8758064
10112,0,718.1651860000001,437264.9548,3686,-1333,661.2601265,1270.333126,162474.2773,2038,33008719,103279760,10842197
2423,0,156.20109230000003,1247.256836,142,-232,35.31652355,1010.2305039999999,497.23413089999997,128,1561522,65316203,3626895
2865,0,695.8308994,409915.8748,4827,-3060,640.2467296,1167.654828,183852.1033,2098,30987561,87258739,11687356
10203,0,296.6704822,101.125,41,272,10.05609268,936.3300366000001,91.35839844,39,5632856,56109692,8211164
7470,0,163.6023189,4181.264647999999,404,40,64.66269905,1035.551393,1141.6875,215,1713006,68631468,1388753
2765,0,250.6131855,38441.70996,1130,-585,196.0655757,1008.581158,24877.548580000002,892,4019646,65103101,15346232
9648,0,835.7357817000001,622923.7986,4575,-1636,789.2552176,1201.115972,181936.5798,2078,44701075,92331493,14457475
7524,0,160.2670135,2338.630615,232,60,48.35939015,1015.673999,2288.310303,246,1643873,66021995,3411932
4986,0,710.6054967,470833.3826,3656,-3050,686.1729976,1184.066239,195688.1892,2353,32317451,89728823,10111934
1021,0,744.8417198,447164.1836,4009,-2969,668.7033598999999,1059.341157,169749.6836,2137,35506508,71821036,13120034
7989,0,244.02702209999998,45013.87109,1434,-929,212.16472630000004,1087.491221,9003.475586,441,3811148,75688778,2795862
4262,0,358.7290064,74.609375,40,-383,8.637671851,897.2540140000001,91.31811523,39,8235936,51524145,10249834
8310,0,229.038684,32849.967769999996,1898,-686,181.2456007,1012.413523,13668.07397,823,3357358,65598793,5435938
4125,0,1296.667435,1681159.09,9403,-4282,1296.595191,1255.452776,698221.9529,4470,107606172,100874347,62737824
6512,0,608.0696917,340218.4756,4089,-2292,583.2825007,1175.58536,147818.8086,1834,23663920,88448060,10161113
7117,0,232.20868849999997,96.875,40,212,9.842509843,989.823256,114.08569340000001,49,3450936,62704005,3412176
5108,0,592.816134,325409.2461,2888,-1585,570.4465322000001,1282.213796,331472.3711,2842,22491582,105220622,9826558
9663,0,764.8747344,534147.8689,4636,-1505,730.854205,1229.729931,219502.2341,2568,37442135,96783085,13677371
4020,0,18.95718861,74.609375,30,0,8.637671851,884.6228097999999,79.05639648,49,23000,50083681,20097824
10315,0,341.8329956,77018.3689,1868,-868,277.521835,1073.687193,18778.86621,803,7478387,73779468,2438227
2254,0,82.67075133,118.1384277,51,-101,10.86915028,1015.3506169999999,77.40234375,49,437405,65979960,2918106
6804,0,462.79980149999994,201102.0156,2383,-616,448.44399389999995,1031.739967,34547.80835,872,13707754,68127191,14604520
1578,0,481.70408770000006,153262.1267,2939,-1515,391.4870709,1020.1205050000001,44579.467769999996,1578,14850485,66601334,6785684
8756,0,374.0705565,46426.6084,1060,-141,215.4683466,1062.967015,53557.467769999996,941,8955442,72313528,5378025
2870,0,703.0391281000001,402993.9412,4090,-2060,634.8180378,1144.689532,173291.7773,2333,31632897,83860104,12870738
3209,0,41.42010381,65.234375,40,-60,8.07677999,937.0518846000001,67.95288086,49,109800,56196239,13432400
424,0,625.8823522000001,322937.2646,3808,-2707,568.2756942000001,985.7314543,127794.6094,2216,25070638,62186656,34381478
9953,0,315.81123219999995,107.7302246,51,292,10.37931716,984.1079479,120.2009277,49,6383151,61981981,1350596
7931,0,190.4562368,33956.05835,1049,-464,184.27169709999998,1095.794646,97215.65625,1402,2321509,76849018,3522580
7471,0,358.1093583,88466.99609,1686,-383,297.43401969999996,1034.721302,9329.693115,422,8207508,68521483,3280304
10096,0,817.1429935,579002.4646,4837,-949,760.9221147000001,1103.398181,116725.9236,1588,42734251,77919203,6342904
5468,0,627.3160088999999,82.8125,40,606,9.100137362,586.8152392000001,76.5625,40,25185624,22038536,21739737
203,0,219.35505609999998,2300.575928,213,-303,47.96431932,997.1872002999999,497.9335938,108,3079465,63640468,3033926
2351,0,1041.6314949999999,931050.2927,6727,-2919,964.9094738,1339.630762,356747.2849,3176,69439755,114855077,10197197
9874,0,320.00661610000003,94.21459961,51,292,9.706420535,981.4522085000001,90.20996094,40,6553871,61647900,1228816
4345,0,719.2340001,499877.6716,3716,-2373,707.0202767000001,1265.960684,245977.4919,2098,33107043,102570013,7564112
311,0,970.0325140000001,798185.3708,7696,-5000,893.4122066,1072.7365710000001,190976.1523,2285,60221637,73648880,14222668
9942,0,314.7008997,146.06152340000003,51,282,12.08559156,981.3049348,107.8125,40,6338346,61629400,1307756
4104,0,455.5617069,207099.3975,2887,-696,455.0817481000001,1042.89184,91588.20288,1784,13282334,69607897,24410352
2028,0,651.3652009,68.65234375,40,-676,8.28567099,737.1932943,77.65209961,49,27153704,34781053,7509764
9292,0,206.8501496,27134.628660000002,1282,-646,164.7259198,982.7029449999999,14440.126709999999,1049,2738367,61805125,8885605
6379,0,149.7593904,49.58496094,30,141,7.0416589620000005,978.0137716,88.06152344,30,1435384,61216700,6635110
4699,0,207.0887491,41847.70215,1666,-363,204.5671092,1019.738248,9260.433594,539,2744688,66551430,3703303
9715,0,294.0272893,117.079834,51,262,10.82034352,991.5704242999999,77.68652344,39,5532931,62925562,985624
4624,0,284.2858652,67618.59741,1363,-1060,260.03576180000005,1108.495792,29429.93335,931,5172381,78640827,3495712
7320,0,484.59108080000004,133.6853027,41,-505,11.56223606,830.0532362,36.49902344,20,15029025,44095256,10387745
5451,0,626.0623971,78.125,40,606,8.838834765,589.4666683999999,89.64428711,39,25085064,22238141,21945475
6158,0,262.1512564,61922.18652,1483,-888,248.8416897,1016.890135,21683.704830000002,775,4398290,66180195,5440684
1185,0,1090.61861,928822.7498,6241,-4686,963.754507,952.1544073999999,127874.4978,2638,76124733,58022273,31585626
1084,0,15.10380747,214.0625,70,-30,14.63087489,980.371422,115.52734380000001,50,14600,61512200,8277751
4770,0,79.11621199,57.8125,30,-90,7.603453162999999,864.4199735,104.7614746,49,400600,47822201,21700776
6551,0,694.3861272999999,434361.5381,3544,-1454,659.0611035000001,1207.212731,172363.2126,1814,30859014,93271205,13669719
1234,0,317.8299467,90.52734375,40,-343,9.514585842,886.7457446000001,241.83178709999999,88,6465016,50324353,13430600
8587,0,108.19824109999999,86.69311523,31,90,9.31091377,1024.870891,119.68359380000001,49,749239,67223062,1199816
4445,0,638.1265671,395026.32399999996,2898,-1909,628.5111964,1272.49534,239904.2478,2147,26061153,103631641,9475795
8612,0,175.3045119,19749.28687,716,-242,140.53215600000001,1018.987626,37710.68359,774,1966827,66453490,1922762
3252,0,36.48629879999999,62.109375,30,-50,7.880950133,936.2212529,92.45483398,49,85200,56096655,14012200
3673,0,99.3786949,302.7255859,81,-141,17.39901106,950.2261572999998,310.9960938,89,632072,57787504,11729383
4929,0,78.46884334,1277.0271,191,-161,35.73551594,1008.2839539999999,257.5068359,79,394071,65064738,4477307
1254,0,203.7342402,1962.5896,232,-262,44.30112413,994.6575808,965.986084,166,2656489,63317997,4165838
26,0,89.25927823,387.3398438,81,-131,19.68095129,982.5787341,216.12402340000003,79,509902,61789502,7267997
2958,0,247.37736859999998,109.35058590000001,50,-272,10.45708305,855.9382734999999,81.56616211,39,3916516,46888341,19338984
1042,0,157.4522249,24016.798580000002,838,-505,154.9735416,1004.1906960000001,4426.265381,441,1586637,64537533,4840163
4828,0,179.357926,1275.710693,202,-252,35.71709245,1012.7909,1032.077148,196,2058833,65647706,2559591
10239,0,302.34153910000003,93.12109375,41,282,9.649927137,931.4692695,117.39746090000001,59,5850266,55528640,8478504
6417,0,147.9940877,81.42089844,30,131,9.023352949,980.3538902,81.15234375,40,1401744,61510000,6744864
7698,0,164.6674679,75.68359375,30,-181,8.699631817,1023.9154480000001,82.828125,49,1735384,67097782,50663
3496,0,10.45825033,109.375,40,-20,10.45825033,989.2427739,78.44311523,39,7000,62630481,7444564
4244,0,351.9032182,107.8125,50,-373,10.38327983,903.308727,106.09375,49,7925496,52221866,9864639
3289,0,56.37486142,83.984375,60,-90,9.164298937,936.970292,90.72827148,49,203400,56186453,13420000
500,0,310.72938389999996,123.09277340000001,51,-333,11.09471827,836.0606662,101.4375,49,6179376,44735836,19390904
86,0,758.8441766,470797.5974,3636,-2414,686.1469212000001,1192.879899,158427.0623,2363,36854047,91069597,12123193
3657,0,118.6502212,72.63183594,50,-151,8.52243134,933.4403518999999,92.83178711,49,900984,55763897,13506200
9626,0,909.6838651,779953.0349,5979,-969,883.1494974999999,1188.3547449999999,202187.0,2579,52961583,90379968,4502923
8461,0,507.3830068,175882.6501,2453,-757,419.38365510000006,1275.527636,94171.99609,1068,16476001,104126128,3958950
6436,0,149.0377469,67.08984375,30,131,8.190839014,981.4409130000001,98.70678711,49,1421584,61646481,6798017
10242,0,301.60199869999997,89.77905273,41,282,9.475180881,930.8326078,153.78125,59,5821681,55452758,8450624
5571,0,111.6488636,12372.22559,615,-161,111.23050649999999,813.3190007000001,696.6286621,108,797790,42335219,27526879
6555,0,618.0507792000001,327792.3806,3767,-2010,572.5315542999999,1149.5644220000001,134862.5955,1676,24447153,84575895,11828294
10119,0,659.7596745,349717.4373,3706,-1080,591.369121,1254.077462,209508.0898,2068,27858101,100653458,14613903
10776,0,524.6002943,201662.8086,2858,-1232,449.0688239,1224.6617199999998,138235.5271,1912,17613150,95986965,10426873
1300,0,222.38585559999999,254.6835938,111,-272,15.95880928,871.2448081,344.85717769999997,108,3165150,48580321,18381011
7744,0,57.37758709,75.17089844,40,30,8.670115249,1031.5363539999998,75.0,40,210700,68100304,816106
8634,0,442.3318183,139651.2568,2555,-747,373.6994204,1091.93455,41528.5,863,12522076,76308548,6003058
3898,0,695.6634422999999,465924.5625,5585,-2111,682.5866702999999,1079.649415,96777.6521,1932,30972648,74601143,4992645
5,0,69.57336505,936.1560059000001,171,-151,30.59666658,988.9409582000001,315.8583984,98,309789,62592270,7174389
10772,0,696.7258472999999,401544.2656,2938,-1050,633.6752052,1098.479091,58343.14746,1245,31067322,77226004,6808927
7708,0,329.2606538,91992.55835,3241,-1595,303.3027503,1097.465824,126111.2439,3324,6938405,77083599,1897206
8696,0,350.63957189999996,85644.80835,1686,-1141,292.6513426,1048.822487,30064.644289999997,1088,7868679,70401831,12795470
10123,0,745.4057829,502398.6396,4393,-1222,708.8008463,1235.535783,254834.3337,2372,35560306,97699115,10768742
634,0,240.58317819999996,3087.697021,222,-353,55.56704978,984.5380659,597.8981934,118,3704337,62036173,4016155
10260,0,257.72138540000003,39473.038089999995,1554,-979,198.6782275,1026.7435169999999,29805.23438,1373,4250900,67468944,10207610
37,0,75.92646525,328.07006839999997,91,-111,18.11270461,986.0822655,193.04663090000003,59,368949,62230927,7380957
7783,0,158.3500868,51.46484375,40,-181,7.173900177,1021.86367,72.64233398,39,1604784,66829143,309904
518,0,306.2650762,76.21459961,41,-323,8.730097342,834.8971306,89.13183594,39,6003091,44611406,19328024
4318,0,86.77647291,91.09375,51,-111,9.544304583999999,1013.697255,83.13183594,39,481930,65765256,3460016
882,0,1137.3834689999999,1018999.652,5615,-4333,1009.455126,1093.14186,254725.8818,2470,82793034,76477384,26736735
3230,0,38.32427429,62.5,30,-50,7.90569415,936.2414636,71.78686523,29,94000,56099077,13632400
708,0,1163.664699,1228865.897,7635,-3797,1108.54224,1233.045917,348832.7693,3244,86663394,97305743,23562101
10090,0,739.2019978999999,481569.7881,4757,-1050,693.9522953,1175.534393,170127.3494,2323,34970854,88440391,12649303
3325,0,54.02545696,63.18359375,40,-80,7.948810839,941.0524693,98.75,39,186800,56677104,13533000
3306,0,56.73402859,89.74609375,40,-70,9.473441495,937.4007447,106.85058590000001,39,206000,56238090,13588000
8408,0,138.8200274,132.00683590000003,50,121,11.48942279,1024.8599140000001,97.18359375,49,1233344,67221622,875596
159,0,753.4970865,454241.5095,4706,-2292,673.9744131,1089.636551,200203.4678,2725,36336503,75987700,14071111
4499,0,722.2475986000001,516137.8086,5615,-3656,718.4273162000001,1275.056739,287554.5273,3039,33385062,104049260,8526834
9921,0,315.9000287,84.89819336,41,292,9.214021563,981.4649446000001,115.20996090000001,40,6386741,61649500,1246836
3066,0,177.88663880000001,27154.65625,1272,-757,164.7866993,987.8852809,11194.34937,696,2025194,62458709,10489556
8144,0,176.6343327,4569.527344,303,20,67.59827915,1014.159173,1684.939209,245,1996780,65825205,4135400
4026,0,20.72890494,83.95996094,50,-10,9.16296682,886.7887819,68.78125,39,27500,50329238,19919744
7147,0,188.30742819999998,92.18359375,41,161,9.601228763,991.8266449999999,90.04589844,39,2269420,62958086,4610616
10325,0,682.3215083,385252.3943,3828,-1515,620.6870341,1151.5155029999999,127270.9021,1745,29796009,84863229,8224401
3803,0,113.0046321,68.05249023,41,-131,8.249393325,970.9853242999999,92.87109375,40,817283,60340000,8793564
6785,0,519.2141448,247106.7595,2524,-484,497.09833990000004,1067.533189,125231.9236,1902,17253333,72936135,12618616
9658,0,906.0394497000001,771255.1111,5565,-2060,878.2113135,1302.179075,286181.9834,2921,52538079,108522902,17293506
10274,0,569.2544466,256206.6553,2413,-868,506.16860360000004,1109.296962,112960.4131,1951,20739240,78754544,16498468
3262,0,61.63146518,65.99121094,30,-80,8.123497457000001,941.7961729,86.96875,39,243100,56766722,13413800
4118,0,721.8066851,514771.2947,5716,-1282,717.4756405,1111.01104,268240.835,2548,33344313,78998114,58664502
