,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,RangeA_V,Minimum_A_L,RMS_A_L,Variance_A_L,RangeA_L,EN_A_F,EN_A_V,EN_A_L
609,0,-3080,222,725.3456504,369087.4834,607.525706,3302,117,2009,1002.8879699999999,101739.8711,1892,-198,556.8680975999999,127893.1521,2227,33672084,64370194,19846533
4190,0,-383,-323,351.4438077,114.23339840000001,10.68800255,60,872,921,904.1459022,94.30371094,49,366,390.2508608,110.4099121,49,7904816,52318708,9746927
2391,0,-737,828,292.2929823,66468.7334,257.8153087,1565,833,1225,989.2090433000001,6523.397461,392,-39,293.3288204,15111.126709999999,543,5467852,62626210,5506675
6724,0,90,131,107.11646699999999,111.70996090000001,10.5692933,41,990,1039,1015.115264,107.12109380000001,49,188,208.40731599999998,124.0974121,49,734332,65949376,2779751
790,0,-4656,2101,1024.331871,866953.4678,931.1033604,6757,-1254,4539,1188.205692,439544.3259,5793,-2881,557.8173144,212917.0898,4029,67152370,90357297,19914250
3666,0,-141,-111,127.51372479999999,67.1875,8.196798155,30,931,970,950.4778239,76.65234375,39,376,413.83297880000003,133.314209,79,1040624,57818118,10960495
8200,0,-525,949,309.26770869999996,65798.55443999999,256.5122891,1474,490,1558,1099.31139,66526.14063,1068,-554,217.67152000000002,19444.9021,1039,6121377,77343074,3032377
8544,0,-555,919,327.92908439999997,70246.25366,265.0400982,1474,735,1362,1043.649853,12960.8689,627,-1128,414.4450733,156326.6563,1939,6882399,69709121,10992942
1000,0,-989,939,314.6665398,60304.46875,245.5696821,1928,568,2392,990.8085004000001,54362.57788,1824,-524,441.36073330000005,46971.06226,1850,6336962,62828895,12467155
2170,0,-4989,2565,1094.132012,1112234.574,1054.625324,7554,-39,2882,1429.993805,476517.4131,2921,-1930,450.1044497,127612.1736,2969,76615991,130872466,12966017
423,0,-1202,1919,464.4086966,176804.8506,420.48168880000003,3121,362,1941,988.5567605,76109.57715,1579,-782,573.7163933999999,159457.9961,3524,13803228,62543646,21065632
9601,0,212,262,235.2902463,77.734375,8.816709987000001,50,990,1029,1008.120335,85.10327148,39,79,101.7502303,66.71264648,49,3543136,65043623,662599
1805,0,-4131,3393,1353.821616,1692769.906,1301.0649119999998,7524,-460,3156,1529.880372,642358.4646,3616,-1683,509.8175838,217953.0068,2900,117301310,149794173,16634494
325,0,-5000,1717,1070.534234,957294.0291,978.4140376,6717,-441,2627,1080.4124140000001,227088.0427,3068,-1356,475.66389460000005,82840.08374,2326,73346787,74706623,14480393
8645,0,-494,828,407.29076299999997,94905.15015,308.06679489999993,1322,500,1852,1117.96448,71907.43921,1352,-960,272.1099847,68196.37402,1712,10616689,79990053,4738806
7385,0,-1101,545,235.31016769999997,40782.76465,201.9474304,1646,833,1441,1071.15338,9013.933594,608,-495,222.464639,11190.80249,910,3543736,73431652,3167393
8445,0,-1292,737,324.37478319999997,104121.7344,322.67899589999996,2029,382,1882,1190.841831,125655.0271,1500,-881,215.7197256,24815.60938,1306,6734016,90758673,2978240
3690,0,-3555,4414,857.4390193,715139.6052,845.6592724999999,7969,-215,2431,1095.783902,188297.6306,2646,-950,363.1065615,77673.8125,2266,47052907,76847511,8438168
8025,0,-626,868,346.43783260000004,68312.67554,261.3669366,1494,490,1490,1083.047494,69966.8125,1000,-425,222.32289300000002,16098.40234,811,7681227,75071480,3163358
6112,0,-959,1757,434.85522019999996,154223.5,392.7129995,2716,323,1549,1015.029733,85835.45483,1226,-1128,427.3965153,96855.40234,2157,12102340,65938263,11690738
5153,0,-1787,2070,426.38811910000004,174413.5154,417.6284418,3857,225,2500,1078.799796,134725.5586,2275,-1742,412.0093104,135624.8826,2474,11635637,74483776,10864107
9595,0,202,252,230.4952548,98.60839844,9.930176153,50,990,1029,1008.006084,106.7634277,39,79,97.72873809999999,111.56933590000001,49,3400196,65028881,611258
1330,0,-242,-151,199.27818969999998,452.08959960000004,21.26239873,91,833,931,884.2867005,341.2099609,98,475,524.2427872999999,549.1708984,89,2541555,50045630,17589152
4314,0,-111,-70,93.91052923,94.45996094,9.719051442,41,990,1029,1011.571426,81.28027344,39,217,235.88450559999998,137.08496090000003,50,564428,65489712,3561056
5137,0,-191,-141,167.6055638,66.77246094,8.171441791,50,1009,1058,1024.360372,130.0837402,49,59,73.16761579,60.9375,30,1797864,67156107,342624
4078,0,-171,-101,143.63060259999997,261.1083984,16.15884892,70,960,1009,984.1127111,129.5759277,49,277,319.0404314,274.86303710000004,89,1320304,61982581,6514355
4557,0,464,494,479.8815609,96.26464844,9.81145496,30,892,921,911.8380304,46.55859375,29,89,111.3410442,107.0270996,49,14738324,53212710,793397
2014,0,-666,-636,653.0831207,67.74902344,8.230979494,30,715,754,734.9845449,115.08496090000001,39,306,345.3554329,202.2460938,70,27297124,34572946,7633304
4879,0,-2353,1050,753.1307780000001,535276.7461,731.6260972,3403,303,2313,1275.12878,207397.9678,2010,-534,353.6979865,61558.88452000001,1563,36301182,104061018,8006545
9381,0,-2292,1515,582.0047787999999,316500.6162,562.5838748,3807,254,1921,1159.730592,89069.59546,1667,-356,223.94056129999998,21100.43359,761,21678692,86078403,3209560
8450,0,-757,1888,541.8694204,252793.2148,502.7854561000001,2645,343,2088,1258.977344,183204.9529,1745,-801,245.8785269,41282.655269999996,1761,18791838,101441533,3869200
2752,0,-3858,4898,1174.672381,1274788.058,1129.065126,8756,176,2794,1335.226613,399743.8572,2618,-1128,400.1891545,99227.23608,2048,88310733,114101127,10249687
7189,0,-686,-484,595.888609,3119.132568,55.84919488,202,715,813,767.7244175,1063.842773,98,247,397.6839394,6965.204834,277,22725327,37721650,10121761
1147,0,-3141,828,979.7121388,797980.5273,893.2975581000001,3969,156,4656,1244.3360050000001,437060.8086,4500,-2792,590.2160754,225756.5583,4029,61429496,99095814,22294721
2645,0,-585,-545,564.438327,71.484375,8.454843287000001,40,754,803,777.3134522999999,74.35131836,49,386,409.72578480000004,108.17871090000001,49,20389800,38669837,10744014
565,0,-323,0,150.349021,5480.6521,74.03142643,323,941,1058,1002.558695,681.5146484,117,168,255.14043309999997,1174.579834,148,1446709,64327932,4166185
4097,0,-888,676,221.67952659999997,47511.67188,217.9717226,1564,588,1362,1010.8156439999999,27458.8396,774,-594,402.16416499999997,37446.71655,1395,3145076,65391889,10351105
7498,0,20,60,41.34458852,84.27734375,9.180269263,40,1019,1058,1035.429183,112.203125,39,39,63.13477647,145.87402340000003,60,109400,68615270,255104
5841,0,80,131,104.1759329,127.43359380000001,11.28864889,51,990,1039,1012.3375869999999,82.42749023,49,188,212.61673259999998,116.00683590000001,49,694568,65588953,2893176
8530,0,-565,636,232.7718505,46175.28101,214.8843433,1201,382,1813,1113.464266,97208.69702,1431,-306,200.798134,11890.76929,781,3467695,79347371,2580473
9771,0,292,333,312.92760739999994,91.57714844,9.569594999,41,950,1000,982.0904044,116.18652340000001,50,108,134.00186570000002,184.2773438,60,6267116,61728100,1149216
1257,0,-484,-111,297.9661264,6468.616211,80.42770798,373,852,1186,978.7702744,4255.897461,334,99,220.7195265,3487.7829590000006,227,5682164,61311440,3117895
4004,0,-10,40,19.48557159,78.88183594,8.881544682000001,50,872,911,886.3233221,74.57714844,39,534,557.9919914,95.67871094,50,24300,50276418,19926724
73,0,-3030,909,887.3860402,637334.0603,798.3320489,3939,156,4382,1189.332034,350969.6709,4226,-1920,521.8604489,151592.9373,2979,50397055,90528684,17429653
1357,0,-181,-90,135.2001988,465.1865234,21.56818313,91,990,1078,1030.2276140000001,275.8037109,88,19,66.3777071,349.9023438,80,1169862,67927612,281984
6599,0,-1292,1737,580.1073042,296630.6638,544.6381035,3029,294,1950,1154.684663,151082.1775,1656,-1158,428.4396836,88272.58984,2078,21537567,85330987,11747876
1638,0,-3767,787,836.180425,516908.7322,718.9636515,4554,401,1656,963.8639847999999,47958.225589999995,1255,-663,442.71320779999996,141684.1384,2148,44748653,59458162,12543679
7736,0,30,111,84.75479337,258.0146484,16.06283438,81,1000,1049,1024.3704089999999,86.62670898,49,148,182.76889440000002,314.5849609,69,459736,67157423,2137886
5919,0,-1333,2161,578.9387381,295780.2178,543.856799,3494,352,2009,1133.585524,129491.9197,1657,-326,414.9162943,69995.39063,1434,21450884,82241033,11017954
8727,0,171,212,194.9305966,82.54589844,9.085477337,41,980,1029,1003.359108,93.52734375,49,188,203.8953086,78.33374023,39,2431868,64430688,2660691
7967,0,-777,939,334.92366200000004,83289.79467999999,288.59971360000003,1716,421,1500,1109.2252429999999,76065.42554,1079,-732,229.92811380000003,22503.875,1197,7179127,78744361,3383484
3176,0,-70,-20,47.31873308,85.52246094,9.247835473,50,921,960,940.1163823999999,101.3085938,39,425,454.03400199999993,115.99121090000001,50,143300,56564404,13193400
8883,0,-10,141,78.45709417,982.7595215,31.34899554,151,931,1039,985.608608,614.3962402000001,108,297,336.65503019999994,304.06811519999997,89,393953,62171157,7253543
1529,0,-171,80,110.3565953,1124.0271,33.52651338,251,1009,1068,1031.362388,167.35839840000003,59,39,77.34419823,258.2568359,79,779429,68077336,382856
10188,0,-121,424,253.7827257,13675.14819,116.94078929999999,545,735,1176,1003.150249,9651.376709,441,-405,177.87254040000002,30113.982180000003,642,4121963,64403867,2024873
3621,0,-151,-111,126.44069760000001,71.85058594,8.476472494,40,892,931,914.9992315999999,112.96484380000001,39,465,490.8518106000001,99.9375,49,1023184,53582310,15419872
1746,0,-202,-151,178.7488199,127.9255371,11.31041719,51,980,1039,1007.710377,203.5505371,59,158,203.8983739,270.33569339999997,79,2044873,64990733,2660771
4398,0,20,90,58.77658973,237.67089840000003,15.41657869,70,1000,1039,1026.777575,120.79589840000001,39,128,169.168047,188.7067871,89,221100,67473420,1831541
4427,0,-90,-40,66.09652033,103.0273438,10.15023861,50,1000,1049,1024.525065,83.37475586,49,158,182.94235769999997,104.6005859,49,279600,67177703,2141946
3932,0,111,222,153.2943961,361.90991210000004,19.02392999,111,980,1029,1005.2473960000001,151.829834,49,178,237.72887000000003,323.79467769999997,99,1503947,64673429,3616961
6695,0,80,111,99.40644157,83.73413086,9.150635544,31,990,1019,1006.453698,64.05639648,29,237,252.88386659999998,130.859375,40,632425,64828739,4092816
1346,0,-191,-20,116.7121861,785.5524902000001,28.02770933,171,1000,1078,1032.304317,208.91186519999997,78,29,69.18803636,220.18139649999998,79,871791,68201741,306367
10033,0,10,60,32.83481384,120.99609380000001,10.99982244,50,1009,1049,1027.643725,102.7099609,40,148,171.2552919,151.4648438,50,69000,67587304,1877016
4836,0,-252,-181,219.5057659,317.5458984,17.81981758,71,980,1068,1004.358066,154.29589840000003,88,158,185.98790280000003,146.45996090000003,49,3083698,64559048,2213856
6823,0,-1343,2707,629.7841147999999,346591.9336,588.7205904,4050,352,1950,1012.0812789999999,78035.55443999999,1598,-643,452.3939448,126225.2773,2336,25384194,65555745,13098258
8916,0,-545,2707,538.2866482000001,249017.9236,499.0169572,3252,450,1901,1003.8372,61264.163089999995,1451,-89,346.0303455,17396.99121,920,18544161,64492104,7663168
5878,0,90,131,111.1067898,65.30859375,8.081373259,41,990,1039,1012.6550269999999,92.45678711,49,188,209.22647719999998,94.71875,49,790062,65630093,2801646
9743,0,282,323,308.6536034,104.4372559,10.21945477,41,970,1009,985.3519438,108.5212402,39,108,131.56367279999998,115.234375,40,6097091,62138781,1107776
5324,0,-40,-10,31.29996006,70.28808594,8.383799016000001,30,862,901,881.4066616,83.35522461,39,544,561.4362719999999,103.8818359,50,62700,49720173,20173484
5927,0,-1898,1606,577.8145517999999,301559.5938,549.1444198,3504,294,2088,1133.547591,132896.8767,1794,-613,419.374348,73254.72559,1583,21367658,82235529,11255990
5417,0,626,666,646.0725578,93.75,9.682458366,40,568,617,591.8585135,91.45214844,49,524,553.7889941000001,112.40234380000001,60,26714224,22418976,19627664
8313,0,-494,1242,348.9761811,103677.3086,321.98960939999995,1736,352,1558,1064.191925,67383.70092999999,1206,-336,236.1092504,21816.78687,920,7794200,72480285,3567845
2395,0,-1858,909,598.7759127999999,265602.8818,515.366745,2767,156,2078,1140.136875,175782.0313,1922,-138,346.1167162,31420.63965,791,22946086,83194374,7666994
6753,0,-1020,858,328.324368,106320.6501,326.0684746,1878,460,1852,1105.807221,98712.67943999999,1392,-792,386.2253835,67007.19897,1702,6899001,78259815,9546883
5232,0,-161,-60,120.7305885,526.2177734,22.93943708,101,901,970,936.1569296,206.04467769999997,69,396,448.7829201,295.90405269999997,79,932856,56088947,12889991
1406,0,-2656,575,781.6389332,493877.8298,702.7644199,3231,166,1941,1124.84169,167390.5369,1775,-1821,426.31324680000006,145303.7537,3009,39101403,80977205,11631551
759,0,-1050,545,330.134679,68851.28809,262.3952898,1595,264,1764,967.4283888,87561.55859,1500,-653,390.4445983,52284.62476,1227,6975290,59898732,9756607
3993,0,-10,30,17.00183814,59.35058594,7.703933147000001,40,872,901,886.9063947999999,83.40209961,29,534,555.043692,117.87109380000001,50,18500,50342589,19716704
2262,0,-232,-151,186.1549674,365.048584,19.10624463,81,950,1019,983.2748932,264.0270996,69,217,305.4355497,1425.053711,149,2217835,61877089,5970616
294,0,-292,-20,189.92589019999997,3356.078125,57.93166772,272,931,1049,980.5380937000001,718.048584,118,237,318.71977799999996,1063.575928,188,2308598,61533117,6501267
1048,0,-30,50,19.44543648,335.0585938,18.30460581,80,950,1019,985.7811465,184.6210938,69,237,349.61206180000005,2599.078125,228,24200,62192926,7822630
3558,0,-181,-151,164.3616439,77.734375,8.816709987000001,30,882,921,903.4162593,74.546875,39,465,499.7801704,155.078125,59,1728944,52234300,15985934
1815,0,-3939,2606,1033.329933,984646.6523,992.2936321000001,6545,-215,3029,1478.934419,545925.7146,3244,-1049,496.5975641,188881.5701,2346,68337328,139983809,15782985
7724,0,-727,1343,413.4456585,125421.7568,354.14934260000007,2070,843,1725,1117.5515369999998,25892.80371,882,-376,221.5690144,16337.48413,900,10939988,79930972,3141941
2247,0,-171,-80,126.8594202,616.3974609,24.82735308,91,980,1029,1011.0040650000001,134.5898438,49,168,232.1161482,1078.483398,129,1029972,65416270,3448186
1121,0,-30,20,11.31923142,99.90234375,9.995115995,50,960,1000,980.0478304999999,93.75,40,316,360.1588625,541.5537109,89,8200,61471600,8301722
8220,0,-919,1878,529.7959218000001,238709.9531,488.57952589999996,2797,382,1696,1118.745265,93007.82813,1314,-435,270.4950901,31768.06152,1197,17963758,80101822,4682726
9886,0,303,333,319.36010239999996,70.3125,8.385254916000001,30,960,1000,980.5204294,101.3427734,40,108,135.2553141,102.734375,50,6527416,61530900,1170816
33,0,-151,-20,88.49073045,448.0407715,21.166973600000002,131,960,1029,986.4021349999999,207.64624019999997,69,306,329.84191289999995,163.64746090000003,50,501159,62271307,6962924
6663,0,70,111,92.41220496,67.38842773,8.209045482999999,41,970,1019,997.8117699,92.08569336,49,257,286.6125433,118.20996090000001,49,546561,63720213,5257392
1817,0,-3515,3080,937.0734946,842379.8279,917.8125233,6595,-176,2833,1358.733153,463400.2725,3009,-930,431.53054280000003,117402.5642,2108,56198831,118153970,11917991
5389,0,-70,-30,45.4835135,71.77734375,8.47215107,40,852,892,873.4543133,83.95996094,40,544,570.6671534,119.43359380000001,50,132400,48827036,20842304
10043,0,70,121,102.05926590000001,101.1523438,10.05745215,51,1000,1039,1024.273676,112.51464840000001,39,128,161.30212340000003,157.7148438,60,666630,67144740,1665176
1297,0,-252,-171,218.76460669999997,354.38842769999997,18.82520724,81,823,941,876.5017024,687.5974121,118,455,530.448189,2228.163086,178,3062909,49168335,18008018
752,0,-2828,1151,917.4877127999998,692485.988,832.1574297999999,3979,68,2176,1069.074607,184571.2947,2108,-2128,612.4462859,245591.6833,3573,53874157,73146913,24005789
4715,0,-90,-50,70.86518892,78.02734375,8.833308766,40,843,892,864.1459927999999,117.2907715,49,554,584.0477827000001,128.8085938,49,321400,47791891,21831156
9865,0,292,343,317.51294260000003,107.41308590000001,10.36402846,51,960,1009,981.895186,101.0068359,49,99,138.3469936,134.6833496,59,6452126,61703562,1224953
8037,0,-717,1616,404.4412813,101665.0898,318.8496352,2333,617,1421,1063.174066,34064.655269999996,804,-574,260.84750690000004,30083.423580000002,1138,10468656,72341702,4354651
7981,0,-343,909,273.64943930000004,59612.46265,244.1566355,1252,598,1441,1075.721451,34272.157960000004,843,-19,214.6651098,7179.710693000001,434,4792577,74059305,2949191
1921,0,-252,-101,178.2513149,940.3662108999999,30.66539109,151,960,1029,1003.63273,203.68652340000003,69,178,228.6776183,728.9782715,119,2033506,64465834,3346781
8958,0,-353,1505,409.30573839999994,95824.38965,309.555148,1858,598,1176,1002.3506359999999,14775.07593,578,-346,340.32500550000003,12970.61499,949,10721996,64301235,7412551
6862,0,-10,212,141.3651632,3331.013428,57.71493245,222,950,1039,997.1688437999999,430.16967769999997,89,188,278.0697698,1912.488037,158,1278983,63638125,4948659
7178,0,181,222,198.31185980000004,86.45996094,9.298384856,41,970,1000,986.28723,73.4375,30,247,269.5162333,92.94433594,40,2516966,62256800,4648896
9681,0,-60,-30,47.38472855,91.77246094,9.57979441,30,1000,1049,1022.6722199999999,96.578125,49,178,200.96664840000003,124.66308590000001,49,143700,66934942,2584806
2795,0,-1868,777,621.0040006,296114.1084,544.1636779,2645,147,2107,1131.836278,152113.906,1960,-316,355.5714371,53792.37476,890,24681342,81987415,8091587
979,0,-444,-252,354.0566913,1880.769287,43.36783701,192,901,1000,950.0031661,451.27319339999997,99,118,246.71529640000003,1971.214844,258,8022793,57760385,3895580
4953,0,-101,-20,65.70542691,231.19702149999998,15.205164300000002,81,990,1039,1013.61969,115.93359380000001,49,188,236.70181659999997,567.5,99,276301,65755192,3585776
4329,0,-2080,2010,705.8292552,487860.9443,698.4704320000001,4090,264,2225,1278.557922,227039.3416,1961,-811,376.04105489999995,66056.625,1949,31884476,104621463,9050040
8844,0,10,141,93.52740240000001,1221.8125,34.95443463,131,931,1039,985.8509332,383.8193359,108,306,340.2256604,323.4375,80,559832,62201732,7408224
2034,0,-666,-636,651.2018216,59.35058594,7.703933147000001,30,715,754,733.6370335,86.43139648,39,326,345.246832,127.24609380000001,50,27140084,34446291,7628504
2577,0,-494,-464,475.31739400000004,64.0625,8.003905297000001,30,764,931,822.9127194,370.6210938,167,396,435.48807029999995,139.282959,59,14459304,43339862,12137591
9876,0,292,343,318.7620341,97.30053711,9.864103462000001,51,970,1000,980.9736872000001,70.99609375,30,118,137.50318180000002,120.99609380000001,40,6502991,61587800,1210056
7556,0,-666,1454,327.1801157,75800.74193999999,275.3193454,2120,705,1598,1042.976353,27253.704830000002,893,-425,196.95284180000002,14896.02515,830,6850997,69619179,2482587
601,0,-3111,1808,830.2066573,551648.4648,742.730412,4919,9,3352,1093.794149,263923.82399999996,3343,-1435,505.71192080000003,102508.9978,2375,44111558,76568681,16367651
5556,0,646,686,663.580063,106.25,10.30776406,40,578,607,593.8720401,70.71484375,29,514,535.8166081,104.85839840000001,40,28181664,22571776,18374364
10781,0,-1535,1383,549.4060145,255608.5303,505.5774226,2918,156,2294,1258.62004,226753.7773,2138,-2128,415.5913896,158477.0017,2880,19318206,101383962,11053837
9078,0,-686,2646,662.4562013999999,333649.3506,577.6238833,3332,401,1696,997.4908207999998,35384.02246,1295,59,371.0102972,15814.91968,594,28086286,63679228,8809513
4396,0,40,90,66.73173908,105.37109380000001,10.26504232,50,1009,1049,1027.1643609999999,80.859375,40,128,153.6450862,149.97558590000003,50,285000,67524264,1510836
10641,0,-292,797,250.85852590000002,59363.6709,243.6466107,1089,696,1352,1032.809835,12865.58984,656,-9,214.2842738,2978.139648,315,4027520,68268554,2938736
6116,0,-1121,505,266.3373976,70820.38257,266.1209923,1626,696,1813,1025.496221,26106.52734,1117,-386,281.5647683,21483.55371,970,4539879,67305120,5073838
7168,0,181,212,198.72197130000004,81.96850586,9.053645998,31,941,1009,986.3034127000001,136.17944340000003,68,247,269.88932919999996,125.75683590000001,50,2527387,62258843,4661776
9664,0,-606,2454,543.9324694000001,245882.3398,495.86524360000004,3060,49,2372,1184.073174,175126.9131,2323,-1514,389.4901315,139095.4834,2038,18935202,89729874,9708964
7963,0,-525,1020,364.5557228,101935.87400000001,319.2739796,1545,450,1872,1116.976527,81574.03809,1422,-1108,284.3396956,47176.8125,1711,8505656,79848740,5174340
595,0,-303,-90,200.964899,1780.781006,42.19930101,213,921,1058,976.8032443,561.8122559,137,247,323.12214700000004,754.1071777000001,129,2584761,61065253,6682107
456,0,-333,-292,309.76669649999997,87.765625,9.368330961,41,803,872,840.3079421,202.4023438,69,495,538.2621486,366.1970215,89,6141146,45191516,18542473
6645,0,111,151,125.34602109999999,70.99609375,8.425917977000001,40,980,1019,997.4827223,90.21484375,39,257,276.92967860000005,142.720459,49,1005544,63678194,4908163
3044,0,0,50,27.95084972,140.5273438,11.85442296,50,960,1009,985.5081256000001,108.4040527,49,316,340.120475,145.67871090000003,60,50000,62158481,7403644
2153,0,-3131,4898,1247.051341,1417113.187,1190.425633,8029,29,2901,1461.222252,486915.6943,2872,-1821,503.0081386,144323.3398,2959,99528771,136650910,16193100
3045,0,0,30,16.723860199999997,77.51464844,8.804240367,30,970,1009,985.4810215,85.77734375,39,316,344.0054505,132.7148438,60,17900,62155062,7573744
2796,0,-3888,2727,890.1723411,755895.947,869.4227666000002,6615,29,2000,1136.322949,146664.1943,1971,-316,488.4053291999999,138851.5701,2415,50714035,82638710,15266545
5061,0,-2727,969,674.6843822000001,435951.7888,660.2664529,3696,68,2362,1305.004292,321933.8181,2294,-1722,409.8080534,132592.7654,2514,29132737,108994317,10748329
348,0,-2464,181,599.5370349,231235.9023,480.86994330000005,2645,166,1862,939.0345191,57747.39819,1696,-792,479.38391449999995,97017.02246000001,1801,23004458,56434293,14707772
8609,0,-767,1888,382.49046150000004,123897.28300000001,351.9904586,2655,500,1460,1071.549047,47914.70093,960,-356,211.4780943,21404.739990000002,811,9363133,73485911,2862271
