,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,Kurtosis_A_F,Skewness_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,STD_A_V,Kurtosis_A_V,RangeA_V,Minimum_A_L,RMS_A_L,Variance_A_L,RangeA_L,EN_A_F,EN_A_V,EN_A_L
1134,0,-30,20,14.25219281,171.484375,13.09520427,-0.566072198,0.157206867,50,960,1000,982.5333964,65.625,8.100925873,-0.006802720999999999,40,316,357.433604,488.21875,99,13000,61783800,8176562
4659,0,-292,-222,259.3367743,158.37402340000003,12.58467415,0.861680102,-0.336693364,70,980,1019,1005.541497,52.03100586,7.213252099999999,1.414803146,39,29,73.29382222,194.73217769999997,79,4304356,64711277,343807
1106,0,-30,30,13.57847561,159.375,12.62438117,-0.32410611300000003,0.256273482,60,960,1009,980.9814999,116.9782715,10.81564938,-0.027648803,49,316,361.408032,689.3103027000001,99,11800,61588781,8359409
10289,0,-484,2858,661.2551394,318825.5896,564.6464288,5.928375577000001,2.3032033259999998,3342,196,1941,1144.011555,133774.1865,365.75153660000007,0.196005564,1745,-1613,335.769266,88160.63965,2018,27984535,83760796,7215424
4856,0,-181,535,263.8970562,33303.76563,182.49319340000002,-0.464202795,-0.346073741,716,882,1078,988.8695882000001,1904.303711,43.63832846,-0.13316098,196,-9,214.3659619,6680.673584,345,4457066,62583236,2940977
4384,0,-50,20,20.27159343,181.22558590000003,13.46200527,0.14843092800000002,-0.00520685,70,1000,1039,1020.4887160000001,104.5273438,10.22386149,-0.651047435,39,198,223.4478057,151.1286621,69,26300,66649422,3195451
4532,0,454,505,481.1537728,102.8571777,10.14185278,0.32689125,-0.5357914970000001,51,892,931,912.6226544,81.27514648,9.015272957,-0.6220962870000001,39,59,95.09912592,160.78125,69,14816573,53304327,578806
1153,0,-2909,545,638.8952868,340846.9375,583.8209807,11.177547599999999,-3.058585799,3454,117,2000,1069.6747460000001,119933.5586,346.3142483,1.484607065,1883,-772,468.6858789,126020.8904,2455,26123980,73229060,14058653
9704,0,-939,2383,533.2586438999999,259133.4443,509.0515143999999,5.700339437,1.422754171,3322,-19,2147,1271.292858,225481.2646,474.8486755,0.158714868,2166,-1742,425.29087469999996,159295.4724,2355,18199346,103435874,11575829
2144,0,-3666,3545,1132.771173,1172135.7959999999,1082.652204,2.7499911960000003,-0.33180434600000003,7211,39,4519,1489.445015,613513.7771,783.2712028,3.169851912,4480,-2554,572.0912023,253049.12399999998,3910,82122914,141980573,20946454
3065,0,-3747,5131,1214.729317,1446079.983,1202.530658,5.645558801,1.061318896,8878,-519,2823,1225.850024,311677.1006,558.2804856,2.6869421,3342,-1217,400.2995753,99400.44434,2177,94436308,96173330,10255344
9312,0,0,121,68.90323831,802.2460937999999,28.32394912,-0.602918133,0.131945853,121,960,1058,1005.898673,393.36499019999997,19.83343113,-0.152942207,98,237,285.8510867,361.1083984,99,303850,64757257,5229494
9730,0,282,333,308.6536034,104.4372559,10.21945477,0.072566878,-0.064985419,51,970,1009,984.5579671,83.37475586,9.130977815,-0.322534325,39,99,123.5446529,126.59277340000001,59,6097091,62038681,976850
4788,0,-80,-40,58.24248879,67.94433594,8.242835431,-0.13662619,-0.122726055,40,852,892,875.9608652999999,95.67871094,9.781549516,-0.423210872,40,554,569.5481212999999,90.40527344,30,217100,49107676,20760644
10749,0,222,272,237.48999980000002,84.27734375,9.180269263,1.716067667,0.695560071,50,980,1029,1005.7294929999999,84.46484375,9.190475709,0.138899156,49,118,140.16039919999997,123.60839840000001,50,3609696,64735476,1257276
9897,0,303,333,317.2187731,99.12109375,9.955957701,-1.019278313,0.164579526,30,960,1000,982.8625285,98.33984375,9.916644782999999,-0.6964614140000001,40,118,139.40588219999998,130.3710938,50,6440176,61825200,1243776
7332,0,-494,22596,8001.7123790000005,58262600.0,7632.99417,3.1428522389999998,2.267784892,23090,813,1331,902.1497935000001,28269.00684,168.1338956,3.1334006569999997,518,-13342,4732.623861,20682570.04,13757,4097753664,52087952,1433454631
9559,0,-1777,5151,1222.130625,1294533.924,1137.775867,4.362630008,1.76692165,6928,-549,2137,1302.967676,310372.0583,557.1104544,0.9796990659999999,2686,-1445,397.78501969999996,128503.6189,2454,95590609,108654385,10126907
336,0,-4464,414,923.6754875,644983.8271,803.1088513999999,9.61516714,-2.897906977,4878,19,2284,997.8318918,152284.5427,390.2365215,1.4050041569999998,2265,-1485,516.8769045,127694.4978,3613,54603290,63722783,17098351
9587,0,-181,858,238.2266515,29968.56934,173.1143245,5.57712828,1.9687008780000002,1039,607,1264,1016.557057,9433.991211,97.12873525,7.349332102999999,657,-257,264.290885,36958.44897,1128,3632124,66136848,4470379
2702,0,-595,-555,573.9664624,69.11621094,8.313615997000001,-0.431894648,-0.043457645999999996,40,754,803,772.6459915,104.8688965,10.24055157,0.24426794300000002,49,386,408.2082802,118.99609380000001,39,21084000,38206837,10664576
9647,0,-1323,4505,934.575639,845364.9053,919.4372764000001,8.699246197999999,2.608425269,5828,-98,2627,1225.559904,268196.8044,517.8772098000001,0.8742482970000001,2725,-1158,345.4328354,93573.62402,1761,55899624,96127813,7636726
7466,0,-474,1575,472.26975210000006,182713.0586,427.4494808,2.937605678,1.764189115,2049,235,1852,1169.060594,146816.9373,383.1669835,-0.073118897,1617,-1346,318.6774918,59632.78125,2058,14274478,87468971,6499542
3306,0,-70,-30,56.73402859,89.74609375,9.473441495,0.159318273,0.43568626200000005,40,921,960,937.4007447,106.85058590000001,10.33685571,-0.742198611,39,435,460.7738057,137.109375,50,206000,56238090,13588000
346,0,-2656,1060,761.6678964,448765.7166,669.899781,3.278294965,-1.601565722,3716,49,1960,1075.026722,234112.4529,483.85168480000004,-0.566145181,1911,-851,547.2027446000001,143652.6211,2395,37128831,73963677,19163574
32,0,-121,-30,89.20849875,269.0585938,16.40300563,0.837021582,0.508272814,91,960,1009,985.3471866,99.14624023,9.957220507,-0.363091622,49,306,331.72758030000006,171.65527340000003,60,509322,62138181,7042764
5127,0,-181,-101,139.3099063,225.0,15.0,-0.034722222000000004,-0.402777778,80,980,1049,1025.201063,155.953125,12.48811935,1.104226856,69,89,117.4916885,111.64038090000001,49,1242064,67266382,883475
6811,0,-2606,3101,777.7585181,581250.0273,762.3975519999999,6.658595777,1.141284152,5707,127,1833,1089.47316,143712.9568,379.0949178999999,0.273040248,1706,-465,664.2574802,296148.4287,3019,38714132,75964913,28239232
4195,0,-363,-333,352.75380930000006,46.77734375,6.839396446,-0.059719056,0.253543048,30,882,921,903.1492557,72.03491211,8.487338341000001,-0.576269905,39,366,387.7699463,160.8398438,49,7963856,52203429,9623394
9768,0,292,333,312.9333495,114.71875,10.71068392,-0.358225933,-0.115192633,41,960,1009,984.4046582999998,119.91308590000001,10.95048337,-0.113373222,49,108,132.9823767,202.51464840000003,60,6267346,62019362,1131796
6407,0,121,161,147.242572,89.74609375,9.473441495,-0.30626799,-0.43568626200000005,40,960,1000,980.3570778,87.40234375,9.348922064,-0.150215037,40,306,322.5533871,94.89746094,40,1387544,61510400,6658604
5271,0,-202,-70,150.7415006,902.1708983999999,30.03615985,-0.313981864,0.166152722,132,970,1029,1004.720833,161.1677246,12.6951851,0.067673073,59,207,243.9497899,492.8710938,90,1454272,64605693,3808736
3188,0,-60,-30,41.64582812,58.49609375,7.648273907,-0.831497125,-0.04952179599999999,30,921,960,937.9170239,78.828125,8.878520429,-0.022989526,39,435,458.0768222,98.99902344,50,111000,56300054,13429400
8943,0,111,191,150.48172649999998,313.1835938,17.69699392,-0.448813006,0.220457021,80,941,990,971.3582789999999,149.63964840000003,12.23272858,-0.17767412,49,326,356.33779619999996,240.625,60,1449264,60386362,8126504
5794,0,191,222,210.08357709999999,67.91577148,8.241102565,-0.49149891100000004,-0.198494234,31,1000,1039,1017.73322,93.05859375,9.646688227,-0.588119451,39,-9,18.44798431,90.78686523,48,2824647,66289978,21781
7587,0,-454,424,170.5835572,21138.76465,145.3917627,4.569951897,-1.5147371109999999,878,852,1598,1029.4781070000001,7117.109131,84.36296066,30.59037322,746,-990,237.98700069999998,31017.808589999997,1405,1862320,67828811,3624820
7291,0,-505,-505,505.0,0.0,0.0,-3.0,0.0,0,843,843,843.0,0.0,0.0,-3.0,0,386,386.0,0.0,0,16321600,45481536,9535744
9600,0,222,252,235.31016769999997,87.109375,9.333240327,-0.879124857,0.14954505199999998,30,990,1029,1006.749263,92.89624023,9.638269566,-0.32859443899999996,39,69,103.0158513,109.21850590000001,59,3543736,64866821,679185
8363,0,-80,252,137.2828399,7219.673584,84.96866236,-0.720134649,-0.238143143,332,1000,1078,1028.602609,371.7751465,19.28147159,-0.17614847,78,49,103.39676309999999,954.751709,129,1206181,67713493,684217
10079,0,-1191,1424,467.60964620000004,173675.0225,416.74335319999994,2.855071953,0.436664895,2615,539,1480,1094.8439740000001,32654.548580000002,180.705696,1.246113359,941,-1297,381.6912815,112010.2498,2405,13994162,76715733,9324047
10421,0,-585,646,397.7585637,24393.08984,156.1828731,20.84263771,-4.129614234,1231,715,1382,965.4000708999998,5982.02124,77.34352746,13.74309638,667,-257,251.8588394,36588.100589999995,1365,10125560,59647827,4059704
8329,0,-242,373,125.08241029999999,9685.286865,98.41385505,3.710323325,0.288553695,615,970,1058,1025.604882,279.2177734,16.70981069,1.9154828680000002,88,19,165.7060179,3496.411865,287,1001319,67319384,1757343
9554,0,-2232,2010,664.3078165000001,411245.9844,641.284636,3.620632594,0.059211382,4242,-58,1990,1189.117103,155501.1423,394.3363315,0.494677233,2048,-2336,436.49173099999996,161390.8086,3276,28243512,90495967,12193602
1220,0,-494,-101,338.2643197,5502.124022999999,74.17630365,0.8652420409999999,0.414574035,393,784,1058,888.3742788999999,2190.37085,46.80139795,1.5817595580000001,274,336,443.4299374,2135.3278809999997,238,7323056,50509367,12584327
4179,0,-343,-303,319.9867185,71.484375,8.454843287000001,-0.15210964800000001,-0.17692837,40,882,931,908.0010582999998,87.04467773,9.329773723999999,0.950927339,49,376,406.0086976,108.546875,59,6553056,52765819,10549956
4950,0,-90,70,67.68493185,4510.058594,67.15696981,-1.931303515,-0.016985878,160,892,1029,961.9857392000001,2676.209961,51.73209798,-1.8710321769999998,137,227,395.29992569999996,17831.52734,297,293200,59226660,10000770
2514,0,-636,-595,619.9457259999999,68.31616211,8.265359164,0.20061181600000003,0.36145457,41,686,735,708.8069862000001,80.78125,8.987839006,0.533116589,49,425,447.2380518,184.93652340000003,70,24597293,32154070,12801400
6123,0,20,60,36.61454629,115.625,10.75290658,-0.41709276799999995,0.263913558,40,1000,1039,1018.1357199999999,85.45996094,9.244455686,-0.8728977640000001,39,198,223.12310919999996,145.47436519999997,59,85800,66342422,3186171
3149,0,20,80,50.86747487,180.3710938,13.43023059,-0.11548248800000001,-0.022449535,60,970,1058,1008.139585,186.91967769999997,13.67185714,2.033102281,88,237,264.55670469999995,195.2148438,50,165600,65046107,4479376
7607,0,-242,898,337.3831511,71654.91772,267.6843621,0.819882977,1.1146968720000001,1140,431,1519,1091.8749070000001,73025.17871000001,270.231713,-0.267510658,1088,-336,254.85194840000003,22210.413819999998,801,7284953,76300212,4156769
5719,0,-3191,1020,775.9198976,558396.8086,747.2595322999999,5.088923027,-1.9740268559999998,4211,19,2676,1321.788437,406703.4294,637.7330393,-0.285630025,2657,-1178,381.7947747,96967.67871000001,2326,38531308,111815979,9329104
9870,0,292,333,317.36096860000004,100.1618652,10.00808999,-0.658719823,-0.09108889099999999,41,960,1000,983.3337747000002,103.2958984,10.16345898,-0.38066949200000005,40,99,135.24012209999998,136.53881840000003,69,6445951,61884500,1170553
8491,0,-1797,888,371.04864069999996,105636.0938,325.0170669,19.29792757,-3.066706656,2685,901,2176,1060.268554,25079.26563,158.3643446,37.28843542,1275,-465,351.36457210000003,52034.5,1227,8811334,71946842,7901252
5385,0,-60,-30,46.182383,93.72558594,9.681197547,-0.9776623179999999,-0.059202107999999996,30,852,892,874.9985357,52.12402344,7.2196969079999995,0.706217442,40,554,573.9158802000001,82.78808594,40,136500,48999836,21080284
4660,0,-272,-202,243.41566809999998,156.61621090000003,12.51463986,1.01418249,0.58971074,70,990,1029,1007.163584,46.24584961,6.800430105,1.928050733,39,29,57.38357779,135.8398438,50,3792076,64920223,210744
6903,0,-545,464,139.80365700000002,17738.8125,133.1871334,5.938061466000001,-1.059008746,1009,960,1078,1010.4142710000001,584.484375,24.17611166,0.276206468,118,49,243.4796899,2362.837646,267,1250884,65339968,3794071
10165,0,-1787,2929,792.2381862000001,552496.8281,743.3013037000001,4.865983,1.6315108930000002,4716,29,1833,1145.02895,153954.0837,392.36983030000005,0.323392872,1804,-1623,391.3754791,120904.0115,2434,40169046,83909843,9803185
6412,0,131,171,148.75231090000003,75.0,8.660254038,-0.3125,0.072168784,40,960,1000,979.0891813,52.24609375,7.228145941,1.108701197,40,297,324.2784538,89.37084961,49,1416144,61351400,6730017
4650,0,-2333,1151,487.5718216,223542.96,472.8032994,7.56871747,-1.642582843,3484,460,2294,1098.16309,79677.44507,282.2719346,4.663272446000001,1834,-1257,309.1846637,45040.444339999995,1959,15214482,77181579,6118090
5091,0,-2212,989,678.4090418999999,443962.6501,666.3052230000001,1.8997972109999999,-1.2993596509999998,3201,68,2588,1355.348093,379025.4041,615.6503911,-0.159165477,2520,-1316,403.5592816,118418.1836,2415,29455285,117565981,10423046
63,0,-2535,1414,789.3834125,468836.7869,684.7165741,2.138372241,-1.122852575,3949,107,2156,1070.846358,167879.949,409.7315572,0.08291787,2049,-1475,475.4309887,113935.2148,2910,39880075,73389563,14466216
4390,0,30,70,49.33938589,118.359375,10.87930949,-0.844949842,-0.205904521,40,1009,1049,1026.064265,67.74902344,8.230979494,0.046162747000000004,40,158,172.9765157,99.90234375,40,155800,67379704,1914936
7981,0,-343,909,273.64943930000004,59612.46265,244.1566355,3.304740778,1.46957897,1252,598,1441,1075.721451,34272.157960000004,185.1274101,0.504572887,843,-19,214.6651098,7179.710693000001,434,4792577,74059305,2949191
8334,0,-353,727,256.3951723,35217.302489999995,187.66273600000002,1.68654097,0.799101845,1080,715,1196,1014.7174949999999,13398.58496,115.7522568,0.726850876,481,-415,206.1527801,17158.30859,880,4207263,65897702,2719934
3069,0,-1525,4797,777.2424815,596416.7773,772.2802452999999,19.64824623,3.6418960719999998,6322,0,4539,1265.760579,355368.2412,596.1277054999999,14.84191956,4539,-1386,411.8737102,91178.69116,2009,38662776,102537590,10856957
4658,0,-303,-252,279.6419586,131.77246090000003,11.47921866,-0.39494144700000006,-0.070070323,51,970,1029,999.2705152000001,103.4521484,10.17114293,1.129751821,59,29,71.27707819,191.3532715,89,5004776,63906660,325147
542,0,-313,-30,176.04607,2673.639648,51.70724948,0.677622607,0.04263917,283,950,1058,989.5568137,359.796875,18.96831239,1.890868953,108,217,291.6844399,1305.7460939999999,198,1983502,62670252,5445108
983,0,-2565,333,676.3406477999999,334356.2986,578.2355044,6.241897422999999,-2.490009426,2898,205,1607,997.1913135,94530.76929,307.45856519999995,0.310805897,1402,-1504,493.3420625,115680.6677,2870,29275947,63640993,15576729
4666,0,-242,-202,229.4884256,66.38183594,8.14750489,0.545988813,0.34511306799999997,40,990,1029,1009.625604,95.86889648,9.791266337,-0.36371895200000004,39,39,59.57453315,123.21777340000001,40,3370556,65238007,227144
378,0,-303,171,182.8184294,5580.5271,74.70292564,6.40292436,1.77237603,474,862,1039,965.7543603,1185.05835,34.42467646,0.134072288,177,207,346.2331675,2592.561523,238,2139045,59691615,7672154
7452,0,-858,1898,578.9060804999999,286194.5146,534.9715083000001,1.9360975180000002,1.334538553,2756,274,2088,1197.9285380000001,194524.1084,441.04887300000007,-0.48236186,1814,-1405,353.439506,92468.8396,2395,21448464,91842098,7994847
4291,0,-111,-70,86.84154032,121.2458496,11.01116931,-0.721597293,-0.160166007,41,980,1029,1007.6496789999999,112.70996090000001,10.61649476,0.526585018,49,227,254.2751954,123.99902340000001,50,482653,64982904,4137976
6997,0,-121,434,181.0493717,15338.37109,123.84817759999999,-0.37961978700000004,0.241186707,555,127,1401,1026.040349,29342.042719999998,171.2951918,9.406742837000001,1274,-138,228.767793,11939.984129999999,593,2097848,67376563,3349421
3295,0,-70,-40,57.21396246,56.42089844,7.5113845889999995,-0.380647856,0.044015835,30,911,960,939.2579352,73.60839844,8.579533696,0.7460531640000001,49,425,457.81409979999995,144.50683590000003,60,209500,56461150,13414000
7776,0,-141,-101,125.7417989,52.90527344,7.273601133,0.998080236,0.202287718,40,1009,1049,1028.5714,82.59277344,9.088056637000001,0.063819471,40,29,50.009999,100.0,40,1011904,67709384,160064
10297,0,-1090,1565,470.6379646000001,174627.8438,417.8849647,3.4017918810000003,0.814849168,2655,362,1500,1070.926023,51556.77515,227.0611705,1.3619026159999998,1138,-1138,282.5781695,60776.22241,1712,14176006,73400483,5110427
4228,0,-383,-343,360.99203589999996,129.5898438,11.383753500000001,-0.657656271,-0.117542479,40,872,990,914.6411096,400.9938965,20.024832,3.348188857,118,326,355.27243070000003,149.1210938,60,8340176,53540375,8077984
4739,0,-90,-60,77.62087348,67.08984375,8.190839014,-0.740807129,-0.046982406,30,833,882,861.7838603,85.28881836,9.235194549,0.389144919,49,554,584.0316371,128.1970215,49,385600,47530971,21829949
