,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,Kurtosis_A_F,Skewness_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,STD_A_V,Kurtosis_A_V,Skewness_A_V,RangeA_V,Minimum_A_L,RMS_A_L,Variance_A_L,RangeA_L,P_A_F,P_A_V,EN_A_F,EN_A_V,EN_A_L,ENt_A_F,ENt_A_V
3888,0,-2020,1080,403.51250760000005,157529.7813,396.9002157,9.470802906,-1.6462058259999999,3100,117,1735,1034.663223,61915.771239999995,248.8287991,3.5037264230000003,-0.710814486,1618,-811,500.16725329999997,160035.9834,3127,525515.1153,5105455.623,10420630,68513791,16010706,3.01896709,2.7181468719999997
4698,0,-313,262,222.1776105,15236.101319999998,123.4346034,1.913202225,1.4838658619999998,575,950,1088,1012.8836460000001,587.1787109,24.23177069,0.576522825,0.307260288,138,-128,98.14426562,2206.704834,286,452642.6643,4043172.539,3159225,65659730,616467,2.285620046,2.4018495890000002
623,0,-292,50,162.9078056,3714.353271,60.94549427,1.5669702509999999,0.484795652,342,941,1068,992.4822337999999,553.9431152000001,23.53599616,0.49914931700000004,0.533843674,127,227,290.2898067,1279.1657710000002,159,233233.7385,4078804.389,1698493,63041343,5393163,2.67041372,3.0619827789999996
4616,0,-2272,1303,452.8519177,184217.1814,429.20529050000005,10.83884406,-1.7734902019999998,3575,647,2754,1047.351078,68875.02734,262.4405215,27.52946006,4.346219838000001,2107,-1811,376.1393733,90157.34155,2642,483812.3725,4271444.445,13124791,70204434,9054773,3.282597058,3.1068227530000003
3979,0,-10,40,23.04886114,118.65234380000001,10.89276566,-0.114978408,-0.42459373,50,852,921,888.1649182,154.1657715,12.41635097,1.671306545,0.013684761,69,504,554.8218182,218.359375,70,4915.371219,3322661.685,34000,50485563,19700944,3.120729861,2.728915115
6723,0,90,131,114.9335406,120.92871090000001,10.99675911,-0.787520949,-0.02512939,41,1000,1049,1016.204458,97.97558594,9.898261762999999,0.392336786,0.339869519,49,168,195.8585267,115.87109380000001,49,61822.49255,4287010.018,845422,66090976,2455076,3.150565585,3.1525287360000003
3559,0,-181,-151,165.1298731,73.80371094,8.590908621,-0.36373184299999994,-0.636604191,30,882,921,901.3776521999999,89.28295898,9.448966027,-0.706212375,-0.15661618,39,485,501.3609291,79.88964844,39,117026.9582,3394560.389,1745144,51998827,16087218,3.0841236960000002,2.9973157489999998
3376,0,-70,121,29.03150229,809.5856934,28.45321938,4.814083654,1.186383881,191,813,1009,959.4425953,849.09375,29.13921327,8.23407065,-2.091133112,196,356,427.87118389999995,1437.9648439999999,208,18986.40606,3774925.3789999997,53941,58913926,11716720,3.0154372869999997,3.049627165
2645,0,-585,-545,564.438327,71.484375,8.454843287000001,-0.8572964259999999,-0.118760139,40,754,803,777.3134522999999,74.35131836,8.622721053,0.6878533029999999,0.28129608899999997,49,386,409.72578480000004,108.17871090000001,49,1328266.189,2514079.679,20389800,38669837,10744014,3.077213548,2.9774477860000004
4190,0,-383,-323,351.4438077,114.23339840000001,10.68800255,0.645299938,-0.26903194199999997,60,872,921,904.1459022,94.30371094,9.711009779,2.144813271,-0.9417051390000001,49,366,390.2508608,110.4099121,49,498507.2105,3370812.8639999996,7904816,52318708,9746927,2.937341959,2.961481837
6245,0,-898,2313,614.0425601,323838.7517,569.0683190000001,3.2304727239999997,1.409079846,3211,362,2009,1118.3998609999999,127814.4209,357.5114276,0.100179067,0.178986292,1647,-861,482.3462676,122361.2849,1851,4319648.325,12042717.0,24131089,80052368,14890107,2.7311308789999997,1.827689086
7156,0,171,212,194.45926630000002,93.48339844,9.668681317999999,-0.02226028,-0.287844473,41,970,1009,988.1515335000001,83.31616211,9.127768737,-0.72289514,-0.009548177,39,247,270.09882450000003,154.5898438,50,153655.5873,4023632.01,2420122,62492381,4669016,3.045467267,3.078475195
8480,0,-1111,1686,558.5177788999999,269499.6716,519.1335778,1.629731789,0.7093843809999999,2797,401,1901,1126.3885109999999,104139.1423,322.70596889999996,0.809818143,0.41582707799999996,1500,-1376,276.0843395,52756.15234,1821,11511882.51,6654781.016,19964295,81200069,4878244,2.5439293569999997,1.871705151
1291,0,-545,393,416.3473798,26811.69312,163.74276509999999,9.461405184,2.74731032,938,598,1862,879.7644393999999,24516.51465,156.57750359999997,23.077794100000002,3.861635062,1264,-732,441.1962609,27104.626710000004,1395,808858.4458,3813444.4680000003,11094089,49535070,12457865,2.8407220289999997,3.2379533560000002
10802,0,171,212,196.3507305,82.46459961,9.081002126,-0.21215782100000002,-0.021860737999999998,41,990,1029,1007.709648,76.12670898,8.725062119,0.327750306,0.6840182340000001,39,148,171.63715359999998,122.04589840000001,50,157303.363,4236152.504,2467431,64990639,1885396,3.191084837,2.9801397639999996
10183,0,-1757,2222,667.2277769,380978.1787,617.2342981,3.790655787,0.937167625,3979,-29,2049,1233.263411,216453.4333,465.2455624,-0.288067102,-0.197700656,2078,-1891,401.71985730000006,140606.8281,2801,7059324.767999999,14851544.94,28492346,97340073,10328246,2.710522445,1.722473598
1311,0,-252,-202,222.63535209999998,143.6523438,11.98550557,-0.5918983879999999,-0.103264601,50,823,882,859.2946872000001,157.34936519999997,12.54389753,-0.048810770999999996,-0.590573485,59,504,554.1553821,345.2880859,90,216641.7085,3044033.543,3172256,47256791,19653644,2.7306793760000003,2.797842877
3290,0,-80,-40,56.16660485,77.90527344,8.826396402,0.43896826299999997,-0.334756867,40,921,960,939.289226,73.6875,8.584142357000001,0.157993901,0.228244995,39,425,459.82673370000003,128.0273438,60,15139.2905,3683853.2660000003,201900,56464912,13532200,2.9969672960000002,3.09468782
5467,0,606,646,626.0648927999999,81.25,9.013878189,-0.065088757,-0.256015475,40,568,607,588.6320344,63.46264648,7.966344612,0.065036075,0.17060975,39,554,585.1008861,136.32788090000003,59,1656795.271,1439594.9640000002,25085264,22175211,21909955,3.0557959610000003,2.996178615
6259,0,131,171,152.18122419999997,74.12109375,8.609360821000001,0.164466455,0.40659163299999995,40,980,1009,999.1155386,74.75952148,8.646358857000001,-0.386508739,-0.6252542289999999,29,237,257.38395440000005,117.16308590000001,40,96392.91433,4192128.8230000003,1482184,63886839,4239776,3.01804704,2.887659816
2348,0,-292,30,140.79334369999998,3201.915771,56.58547315,1.6615291559999998,-0.299541459,322,892,1098,1004.581132,916.234375,30.26936364,2.7914843639999996,-0.7824749120000001,206,-227,246.9755175,11893.11621,801,99521.49347,4234647.384,1268657,64587728,3903802,2.812814941,2.502046296
2573,0,-494,-454,473.9311,82.78808594,9.098795851,-0.41500577299999997,-0.155237081,40,794,843,820.8856022000001,94.36108398,9.713963351,-0.128171136,-0.330438815,49,415,438.1744801,180.24902340000003,50,954962.0641,2848836.7260000003,14375084,43126603,12287800,3.191329502,2.927182943
1105,0,-20,10,11.25,81.42089844,9.023352949,-0.829834498,0.073241988,30,960,1009,982.5396063999999,108.53100590000001,10.41782155,-0.146139959,0.036460329,49,316,355.68053169999996,561.2849121,89,448.580813,3995619.6569999997,8100,61784581,8096553,3.009725436,3.214118661
5237,0,-151,-101,125.35848600000001,74.12109375,8.609360821000001,1.300306728,0.149494877,50,911,960,939.1072057,83.96484375,9.163233259,1.209737054,-0.7709764579999999,49,415,443.0822441000001,100.5615234,50,66492.85145,3706506.5319999997,1005744,56443030,12564600,3.0686800730000003,3.0998016969999997
1656,0,-818,616,318.33421410000005,47795.05054,218.62079159999996,4.454255367,1.105073854,1434,558,1607,1008.123132,32868.15234,181.29575930000001,2.884632906,0.605654509,1049,-1217,343.88161119999995,76893.17188,2632,527641.4903,5226049.578,6485547,65043984,7568292,3.0440915289999997,2.844614584
8306,0,-525,2323,480.33120080000003,202388.9648,449.87661069999996,11.11920339,3.1320215869999997,2848,529,2000,1045.91565,52040.88257,228.12470840000003,4.720335045,0.900766017,1471,-366,206.5248547,8491.079834,702,9479535.344,5462601.942000001,14765956,70012131,2729761,2.577271408,2.451900179
1734,0,-878,-101,560.1953063,26053.58984,161.4112445,0.355528422,0.85289021,777,637,1147,868.3822423,11366.93359,106.61582240000001,0.123043885,0.604988044,510,29,241.0250895,6223.03125,376,2629782.196,2853246.7939999998,20084402,48261614,3717958,1.861697961,1.710795535
4409,0,-474,2282,351.7792721,116271.8115,340.9865269,24.96688658,4.232473488,2756,745,1990,1040.731661,46893.82593,216.5498232,7.249837847,2.066477279,1245,-425,271.9085037,21571.923580000002,959,2229125.99,5460536.683999999,7919914,69319833,4731791,3.119233092,2.84998826
835,0,-3282,3757,770.6051599,543333.7959,737.1117933999999,15.55503492,1.062374986,7039,-107,3696,1191.27296,354461.9861,595.3671019,4.73430383,1.2154139990000001,3803,-3475,667.2077192,347968.3357,5445,6380484.576,17463097.4,38005268,90824401,28490633,3.1080900089999997,2.52413707
8322,0,80,111,89.78733555,65.49389648,8.092829943,-0.12638155,0.6027121010000001,31,1009,1039,1025.119078,51.92871094,7.206157848999999,0.010735768,-0.5110300870000001,30,118,148.4848477,143.75,50,36858.562000000005,4369368.907,515953,67255624,1411056,3.1450694639999996,3.13634298
3316,0,-80,-40,55.8177839,90.625,9.519716382,-0.469678954,-0.271668482,40,892,960,939.0635877999998,148.76538090000003,12.19694146,3.07072071,-1.4011630290000001,68,425,459.6635998,121.65527340000001,60,12324.10831,3652295.059,199400,56437787,13522600,3.1942799219999998,2.9973675710000003
392,0,-4545,707,755.8596307,453846.2188,673.6810957,21.54836207,-3.8298525789999998,5252,156,4362,1122.864028,344017.375,586.5299438,16.84244277,3.502019222,4206,-3079,769.1139178999999,520013.4023,4484,6556277.669,11607636.81,36564722,80692712,37858318,3.223903223,3.0593664119999997
8316,0,-1454,949,405.36106589999997,138587.4287,372.2733253,4.312107964,-0.765346327,2403,372,1656,1125.775906,82913.28296,287.94666689999997,0.13106627099999998,-0.449933746,1284,-673,276.3649648,57949.53125,1326,5118447.578,10348902.07,10516326,81111769,4888166,2.80494063,1.7096505469999999
4400,0,10,111,50.22154045,174.49780269999997,13.20976165,6.985081462,1.417007804,101,1009,1049,1026.6969490000001,83.56933594,9.141626548,-0.41546500799999997,0.356493295,40,128,160.4476648,188.4333496,89,10340.52378,4402432.395,161421,67462824,1647581,3.106976932,3.155927164
5950,0,-1939,1575,605.7058512,322259.6169,567.6791496000001,2.591680774,-0.195513125,3514,343,2058,1146.673075,144709.8826,380.40752169999996,0.158260159,0.242563678,1715,-1386,453.0675998,95667.87109,2395,2967399.4310000003,7280282.63,23480293,84150985,13137296,2.9105003469999997,1.896826195
10221,0,282,333,299.9022236,110.01464840000001,10.4887868,0.198936043,0.527958616,51,911,950,933.8007097999999,65.52319336,8.094639792,-0.15895563,-0.281917928,39,326,362.113242,127.24609380000001,60,373238.2237,3661971.918,5756246,55806961,8392064,3.1009620719999997,3.1498899689999997
1041,0,-333,-70,195.6987481,1529.9375,39.1144155,2.5730066519999997,-0.391834089,263,941,1068,1007.964874,559.0898437999999,23.64508075,0.560832101,-0.33325280399999996,127,29,176.5212009,2572.322021,238,189220.5333,4251465.848999999,2451072,65023564,1994223,2.886228255,2.937601463
8886,0,-181,1151,321.4931716,56883.9314,238.50352489999997,4.615048095,1.92002372,1332,774,1176,977.6617274,8637.304443,92.93709939,-0.260226715,0.04121673,402,89,335.33656129999997,6001.351318,445,1452577.667,4477112.041999999,6614903,61172637,7196839,2.349671235,2.515939625
8318,0,151,303,233.30689950000001,1395.45874,37.35583944,-0.774474853,0.122702169,152,911,1068,999.9287006000001,1419.295898,37.67354375,-0.617568171,-0.208034981,157,-19,186.0255779,8940.474365,444,162258.8848,4711548.534,3483655,63990874,2214753,1.22178309,1.525175641
8778,0,151,5890,755.6351116000001,503116.031,709.3067256,58.99548092,7.809275847,5739,-16638,1019,2304.503963,4785317.402,2187.536834,59.01336092,-7.811020687,17657,-13824,1744.386636,3042467.6810000003,14081,7839620.757,70520569.6,36543003,339887265,194744623,3.460694138,3.4610262689999995
2103,0,-2606,2919,937.5520652,847308.7490000001,920.4937527999999,2.230521585,-0.19795822100000002,5525,-127,4656,1398.9685769999999,608139.7166,779.8331337999999,5.199471678,1.854986271,4783,-2861,682.5779603,364997.2517,6237,25358134.21,15045955.65,56256248,125255237,29818411,2.699029064,2.57207321
9934,0,292,343,317.19451349999997,93.63842773,9.676695083,-0.000611397,0.13347308800000002,51,970,1009,984.7079277999999,71.00170898,8.426251182,0.095191515,0.605235975,39,118,141.308395,95.87402344,40,413688.351,4062134.1139999996,6439191,62057581,1277956,3.051471096,3.072729034
5732,0,-1727,434,390.3310694,117026.0928,342.09076689999995,6.142416411,-1.896013147,2161,147,1803,1093.039977,114793.2556,338.8115341,0.841471785,0.060639279000000004,1656,-742,257.0536787,29905.308589999997,1425,741033.5135,6248676.855,9750934,76463129,4228902,2.583048555,1.835327289
4735,0,-101,-60,78.62102534,75.30834961,8.67803835,-0.181532622,0.034488331000000004,41,833,882,860.8590912999999,80.21484375,8.956273988,0.428153255,-0.42562317899999996,49,564,585.2667127000001,92.71484375,49,27072.392160000003,3100561.275,395601,47429016,21922376,2.945016115,3.122685615
430,0,-3505,1878,927.951701,724714.1775,851.3014609999999,4.57382368,-1.76212634,5383,88,2725,1100.691636,239295.2654,489.178153,1.3333585159999999,0.31163979,2637,-2019,529.9538895,179349.1475,3256,25668489.62,17320453.13,55110039,77537413,17974472,2.7624025619999997,2.158579415
597,0,-1626,626,375.2326986,132640.408,364.1983086,6.92494392,-1.7349372669999998,2252,78,1509,983.1014142000001,38607.72632,196.488489,5.685946862000001,-1.331953757,1431,-594,451.07874169999997,38686.77734,1673,4343486.785,4797761.022,9011173,61855257,13022210,2.77757291,2.965701615
2093,0,-717,-676,690.865569,94.91186523,9.742272078,0.648917848,-0.759387817,41,725,774,753.5601544,90.65625,9.521357571,0.23861079899999998,-0.592311232,49,148,178.0197496,129.28808590000003,59,1984064.6840000001,2382881.528,30546895,36342586,2028226,3.196988189,3.0646942139999998
8193,0,10,70,53.03300859,153.8085938,12.40195927,0.608089494,-0.691231027,60,1009,1058,1030.569268,110.56225590000001,10.51485881,0.37082442200000004,0.480767902,49,108,136.6013818,172.43652340000003,50,12315.38705,4430731.883,180000,67972673,1194236,2.999946511,2.987235681
7159,0,181,222,197.22041130000002,105.3571777,10.26436446,-0.771924835,0.202643908,41,970,1009,990.0235240000001,77.51538086,8.804281962000001,-0.21980303,-0.432906604,39,247,269.065977,102.734375,50,167366.9154,4097680.365,2489337,62729381,4633376,2.9855379660000003,3.089863808
1539,0,-212,10,100.7016789,1587.4685060000002,39.8430484,1.210537365,-0.34817599200000005,222,1000,1068,1030.9155369999999,212.4335938,14.57510184,0.018251888,0.36893539299999994,68,19,94.09727347,615.8981934,129,62563.79537000001,4447933.775,649013,68018358,566675,3.0002302760000004,3.039035523
2882,0,-373,282,196.90670380000003,11753.10938,108.41175849999999,4.675557228,1.3486258169999998,655,872,1058,995.8979773,1849.967773,43.01125171,0.486188378,-0.80505443,186,39,304.76045919999996,8561.296875,525,291698.8464,4046868.19,2481424,63476018,5944252,2.62757394,1.803504981
7705,0,-50,141,62.84268553,2274.603271,47.69280104,-1.141544229,0.109714726,191,980,1117,1033.44818,764.7282715,27.65372075,0.787649875,0.813151506,137,0,48.54266809,462.78100589999997,118,8717.437081999999,4619637.603,252749,68352969,150809,1.3920213240000001,2.6426444630000003
9811,0,292,343,314.368315,113.65234380000001,10.66078533,0.723099933,0.321573945,51,960,1000,983.0254638,111.49902340000001,10.559309800000001,-0.48897957,-0.056124375,40,108,136.8025493,142.35839840000003,50,419576.7463,4061420.3639999996,6324956,61845700,1197756,2.975648239,3.086955592
10020,0,242,282,259.3289417,73.33984375,8.563868504,-0.39342838,0.27433484199999997,40,980,1009,995.6633310000001,76.328125,8.736596878,-0.7819232309999999,-0.192955312,29,138,161.630172,112.67089840000001,50,281877.173,4166464.453,4304096,63446110,1671956,3.124616037,3.071361097
735,0,-2343,1101,881.3173644,609119.613,780.4611541,0.660428644,-0.84351016,3444,294,3705,1261.833939,273782.7107,523.242497,7.100507287,1.78858307,3411,-3000,658.3287671,279696.0134,4287,24738714.66,10073719.03,49710099,101902393,27737393,2.442318686,2.788366773
651,0,-171,-50,116.8350199,650.8591309,25.51194095,-0.36881712200000005,0.001317002,121,931,990,963.2667725,152.7148438,12.35778474,-0.48964514200000003,-0.07865546400000001,59,356,398.18551349999996,309.34936519999997,89,73615.77969,3856232.363,873627,59384504,10147309,2.7580577410000005,3.178761024
1866,0,-1525,1757,706.281194,410140.8398,640.4223917,1.441115626,0.514115646,3282,-9,2127,1180.840187,158221.7673,397.7709986,1.0949545840000001,-0.193615575,2136,-1554,693.2989637000001,346718.8904,3969,12354654.39,14684018.95,31925320,89240547,30762461,2.777741368,2.0404621769999998
2942,0,-262,-232,246.94495840000002,49.97558594,7.069341266,-0.245358167,-0.055261608,30,833,882,858.3063446000001,96.71875,9.834569131,0.020967165,-0.08390008300000001,49,524,544.1033909,112.5,50,254882.2914,3111228.403,3902836,47148146,18947104,3.085691505,3.150280126
6242,0,70,191,128.420452,647.296875,25.44202969,-0.456236476,0.155027771,121,990,1039,1017.965457,152.3474121,12.34290939,-0.7769092590000001,0.102008816,49,158,187.0758118,244.24389649999998,69,41924.477289999995,4368646.403,1055476,66320235,2239831,2.306975633,3.0785423130000003
10709,0,-1313,1131,319.96569639999996,72530.08568999999,269.3141023,15.22558958,-1.7225593369999999,2444,509,2029,1032.8106369999998,49877.67188,223.33309619999997,6.917746462999999,1.385863897,1520,-1198,301.1076687,68254.80249,1772,112205.3017,4646228.65,6552195,68268660,5802613,2.976203155,3.179633603
5532,0,646,696,667.1619462,90.99121094,9.538931331,0.279409517,0.53660564,50,568,617,595.5239421,84.34155273,9.183765716,0.380279075,-0.160626178,49,504,528.6226797,96.65527344,40,1862785.35,1465409.392,28486724,22697521,17884284,3.03481087,3.000952466
449,0,-333,-292,309.7573647,101.3349609,10.06652676,-0.36898662600000004,-0.026260185,41,823,862,843.3321742999999,85.88964844,9.267666828,-0.5968180820000001,0.037659847,39,495,533.6146345,239.01928709999999,69,390160.2083,2983559.514,6140776,45517386,18223653,3.049442597,3.27065862
892,0,-2454,262,441.59372239999993,133988.2966,366.0441184,18.36667888,-3.551039554,2716,147,1735,974.1899358999999,103795.6406,322.1733084,0.981631692,-0.331756455,1588,-198,407.33244249999996,31161.897460000004,1198,1263142.07,4459681.411,12480321,60738946,10618862,2.868586824,1.764593255
9423,0,-1636,2484,690.3597227999999,445801.781,667.683893,3.3280918269999997,1.229355985,4120,-107,2166,1239.2284140000002,234661.6719,484.4189012,0.027600851000000003,-0.29037318300000003,2273,-2118,426.5899488,153126.7771,2811,2282876.236,9453593.902999999,30502179,98283972,11646655,2.611006895,1.5181371369999999
1305,0,-262,-191,227.13662599999998,225.07397459999999,15.00246562,0.19783569199999998,0.21891946,71,833,892,860.6073981000001,131.06152340000003,11.44821049,0.455086338,0.197321105,59,514,550.3059376,405.3710938,80,211955.0816,3070228.086,3301827,47401286,19381544,2.996613623,3.027131994
8690,0,70,111,92.71596411,97.71484375,9.885081879,-0.245453447,0.217083429,41,990,1039,1022.184265,89.21459961,9.445348041,0.728110631,-0.392505174,49,148,168.2880715,96.875,50,39617.48345,4339628.14,550160,66871083,1812536,2.83550991,2.730197332
2413,0,-111,-70,89.00974315,142.94311519999997,11.95588203,-0.575495205,-0.330615938,41,990,1049,1015.1475720000001,109.27246090000001,10.45334688,0.7884166,0.028986361000000002,59,207,233.8247207,122.55859380000001,60,48348.9607,4383597.819,507055,65953574,3499136,2.8490882039999996,2.87410544
1618,0,-1606,818,550.3812598999999,198388.5586,445.4083055,2.3525390059999998,-1.1294991909999998,2424,411,1509,966.3192731,57442.921879999994,239.67253050000002,-0.16495033,-0.105763804,1098,-415,288.112554,43395.405269999996,1256,4652322.412,6189541.1729999995,19386850,59761468,5312566,2.567244508,2.125742769
582,0,-1737,1252,629.3905162000001,281624.2068,530.6827741999999,1.855972177,-0.9951984070000001,2989,225,3019,1103.247493,117933.8398,343.41496739999997,15.13153531,2.497202166,2794,-1445,462.7306857,78465.58984,2336,12098282.83,6882783.223999999,25352475,77897922,13703660,2.531478142,2.9648125989999996
1671,0,-676,353,270.0548845,37308.97632,193.1553166,1.928744299,0.506360199,1029,254,1578,1013.6184789999999,59320.16577000001,243.55731519999998,2.44413556,-0.664566423,1324,-108,181.4054506,14104.671880000002,919,347810.3934,4629668.64,4667497,65755035,2106108,2.6879114360000003,1.750668827
2864,0,-3505,3353,890.2303336000001,721945.1052,849.6735286,7.451058942,-0.320524333,6858,225,1941,1137.42589,127472.6523,357.033125,0.459600797,0.231415648,1716,-544,395.9250639,60598.52246,1633,3967969.736,9895280.553,50720643,82799210,10032426,3.2091657689999997,1.913371275
4013,0,0,30,20.53959591,70.3125,8.385254916000001,-0.684444444,-0.23851391800000002,30,852,911,884.8130717,83.96069336,9.163006786,1.6502412309999999,-0.423052359,59,534,557.222801,108.984375,40,2285.9122820000002,3269918.111,27000,50105227,19871824,3.203329831,3.021338099
7377,0,-171,494,143.97151409999998,15442.05249,124.2660553,1.72853189,1.215197875,665,990,1529,1111.007517,24234.575930000003,155.67458340000002,1.2153853490000002,1.6792530980000002,539,69,227.79873930000002,5080.886475,406,543379.1672,5240465.329,1326579,78997613,3321105,2.524747051,1.787416886
234,0,-161,-10,95.99707027,1036.4960939999999,32.1946594,-0.529081087,-0.195039275,151,931,1039,978.116246,441.31616210000004,21.00752632,1.020698972,0.654932657,108,277,347.9263122,990.46875,128,87003.8091,3956102.898,589788,61229529,7747374,2.692594802,2.733906958
7037,0,202,252,230.92260609999997,79.6875,8.926785536,0.588235294,-0.411847084,50,970,1009,992.9042549000001,89.12084961,9.440383976,-0.35246617,-0.17476983399999999,39,198,226.7322554,140.6501465,49,225136.4254,4160747.354,3412816,63094967,3290081,3.146622469,3.088244237
9965,0,292,333,314.2041285,79.16577148,8.897514905,-0.782481698,-0.104891143,41,960,1009,983.0110073999999,113.7946777,10.66745882,-0.636358883,0.28599913,49,108,145.72962980000003,157.7148438,60,406416.2358,4058871.3030000003,6318351,61843881,1359176,3.1348774539999997,3.059493313
175,0,-727,404,250.25939669999997,41763.0603,204.36012409999998,0.481943231,-0.014761918,1131,-78,1343,981.7377848,102073.99,319.4902033,2.194988189,-1.61312329,1421,-49,380.5020121,18401.53125,652,982618.6858,3945505.7789999996,4008305,61683781,9266034,2.664548276,1.814934253
191,0,-171,0,91.57681202,963.4130858999999,31.03889634,0.592358461,-0.181928922,171,921,1078,991.8580339,988.9489745999999,31.44755912,-0.24346715300000002,0.46453357,157,247,320.1980588,1829.657959,198,45908.3157,4129847.4960000003,536724,62962071,6561715,2.8697932930000003,2.858723027
7958,0,-393,989,331.21268660000004,72873.83496000001,269.9515419,0.853365967,0.8965811840000001,1382,921,1774,1147.926459,32416.95215,180.0470831,1.6741840719999999,1.5580894019999998,853,-1089,278.57985279999997,38828.50952,1623,3603553.8910000003,8317843.011,7020918,84335050,4966831,2.36067589,2.222003839
7042,0,212,252,228.72800440000003,75.68359375,8.699631817,0.226260978,0.440229976,40,970,1009,990.3328117999998,71.17749023,8.436675307,-0.144201633,-0.395497417,39,207,228.8372784,125.68359380000001,50,217267.1461,4098189.15,3348256,62768581,3351456,2.9575383410000002,3.118194419
8057,0,-1000,1797,350.98682310000004,92850.46484,304.71374249999997,13.74802241,1.737564998,2797,627,1705,1030.823131,25349.5603,159.2154525,4.795471397,0.352121203,1078,-366,216.4194062,18112.40601,1128,2371762.687,5653142.744,7884272,68006165,2997591,3.102811209,2.583592507
3191,0,-70,-30,43.64272563,85.13183594,9.226691495,-0.233205904,-0.286114975,40,911,960,939.2644230000001,85.79589844,9.26260754,0.5632752879999999,-0.42921601200000004,49,435,459.37117350000005,140.01464840000003,60,8125.122656999999,3715716.82,121900,56461930,13505400,3.11734825,3.0503582039999997
9830,0,303,333,319.2387429,92.55371094,9.620483924,-0.9522776079999999,-0.101252686,30,960,1009,983.3129667999999,93.10131836,9.648902442999999,-0.068156402,0.309353913,49,108,133.63990800000002,87.40234375,50,413989.6815,4092496.4280000003,6522456,61881881,1143016,3.019398565,3.0912977589999997
1330,0,-242,-151,199.27818969999998,452.08959960000004,21.26239873,-0.5168762020000001,0.125714438,91,833,931,884.2867005,341.2099609,18.47186945,0.13722678300000002,0.019907288000000002,98,475,524.2427872999999,549.1708984,89,203019.2099,3179012.608,2541555,50045630,17589152,2.248631889,2.585124177
